"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Great Neck Plaza","Great Neck","NY","New York-Newark-Jersey City","Nassau County",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448000,399000,399000,415000,416500,404000,428000,469000,488000,474500,438944,470000,438888,418000,414000,409500,418000
"North Ponce de Leon","Coral Gables","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,315900,310000,310000,319000,327000,297500,315900,327900,336750,334500,339000,334750,335000,336250,339850,335000,349900,384000,384000,369000,324500,324500,329900,329900,340000,340000,324500,365000,374450,374500,349000,369950,349100,367450,369950,364000,349000,349000,350000,362500,350000,350000,349500,350000,358500,377450,405000,367000,357500,347000,349000,339250,342450,339900,345000,345000,342500,355000,365000,360000,362450,342450,329000,329000,339575,339575
"South Central Beach","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",282,250000,250000,250900,250454,244500,230000,239000,239949,240000,239000,250000,249900,249900,240000,234900,235000,240000,239000,240000,240000,235000,240000,249000,249000,249000,259000,269900,269000,266843,269000,274900,269980,299000,269887,288888,293900,319000,332000,329000,319500,299000,3e+05,305900,325000,329000,331250,330000,339000,336950,325000,325000,325000,339000,340000,340000,349900,349900,349000,350000,359000,360000,359950,360000,377000,379000,375000,388908,399000,374700,379450,389000,379000,379000,375000,375000,379450,369999,369000,365000,369900,374900,375000,375500,379900,378000,370000,369000,375000,375000,377500,378950,379000,379000,378950,375000,375000,370000,375000,359900,359000,358800,359000,359000,359450,355000,350000,359000
"New Eastside","Chicago","IL","Chicago-Naperville-Elgin","Cook County",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,820000,749500,759000,735000,729500,749500,735000,702000,675000,672500,725000
"Chesapeake Beach","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549900,495000,411950,434900,409700,437500,449000,475000,487450,477000,525000,525000,450000,449900,444450,437696,434950,437696,482450,545000,475000,425000
"Imperial Point","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75950,82250,88900,89900,92500,91000,92000,88900,94700,89900,94900,92500,97900,98000,94500,104900,109000,109000,96450,112899.5,114799,110000,114799,117400,119900,121750,124750,115000,118900,115000,110450,107450,102450,116899.5,109900,124900,124950,123000,125000,125000,124900,124900,129000,125000,125000,120000,120000,124500,124700,118450,125000,125000,121950,127000,135000,135000,130000,124950,130000,120000,130000,129700,125000,125000,129000,125000,124900,125500,125000,134500,135000,134900
"Downtown","Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233000,229000,219000,227000,230000,214950,199000,197000,194000,201950,216900,207950,215950
"The Island","Venice","FL","North Port-Sarasota-Bradenton","Sarasota County",287,325000,325000,329900,329900,315000,310000,299900,297000,299000,292000,264900,269900,249950,280000,279000,248700,229900,234950,248700,240000,259900,241250,217450,224500,219900,214000,206500,206500,217900,231950,229450,265000,274450,298450,297900,259450,259450,245000,234750,220000,229900,239450,229000,239450,239000,234900,234900,249950,245000,249892.5,234900,225000,259900,266950,274950,290000,298800,280000,299250,299500,297500,327000,327250,319000,289950,279900,282000,290500,280950,284900,299000,326000,327000,327400,329900,324900,275000,272500,282450,272000,259900,295000,282450,274950,291950,339900,329900,335000,335000,339450,335000,329950,328700,329950,329900,309000,329500,349950,345900,324500,332400,309900,325000,304900,319500,320000,325000
"Old Town","Chicago","IL","Chicago-Naperville-Elgin","Cook County",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000,351000,369900,369500,390000,398500,398500,394200,374500,370000,399450,379900,345000,337500,339000,349900,359000,359850,349950,347000
"Lynnhaven Shores","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",289,359900,354900,372450,360000,355000,358450,349900,339450,329450,319950,299995,309000,325000,329000,329250,325000,325000,320000,319000,314000,319000,319000,299900,299900,299600,299700,299000,274900,268700,276200,267500,299700,298800,293950,293950,295000,279000,289250,289500,289500,310000,305000,305000,315000,298500,289500,293750,310000,299900,319950,320000,334450,324900,329900,327450,341200,339900,338150,329000,324900,315750,324950,319900,345000,345000,339450,317450,344200,336450,348500,348500,317000,295000,313250,307500,307500,325000,334900,334900,342500,331950,304000,299000,319900,334900,340500,349900,351999,349900,364747,359450,350000,357500,362900,349900,379150,379900,365000,365000,362450,350000,339373.5,337000,339000,339900,339900,329900
"Mustang-Padre Island","Corpus Christi","TX","Corpus Christi","Nueces County",290,174700,179900,182400,179900,187500,192450,187500,187500,189000,189000,187500,181000,164950,161200,159750,158000,159000,174250,195000,195000,175000,175000,169252.5,165900,167950,181000,175000,187500,189900,188250,171950,185000,185000,164900,173450,172000,174900,169900,169900,170000,177450,189900,197500,197950,199900,209900,196250,197500,196250,197500,198749.5,196500,195500,198450,207400,199900,195500,194900,195250,188400,185000,199900,199900,185000,194000,189000,192450,199000,196950,199000,199450,199000,199000,197900,199000,2e+05,199900,199900,199900,199500,199900,197900,195000,194700,189500,189000,189000,194900,195000,199000,199900,199900,199900,199000,199000,195000,188200,192900,199000,199000,199900,199900,199900,194500,199450,194000,197000
