"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Rego Park","New York","NY","New York-Newark-Jersey City","Queens County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4453781512605,2.28861386138614,2.27272727272727,2.25,2.25,2.26510067114094,2.28139163916392,2.36170212765957,2.35714285714286,2.43421052631579,2.39071038251366,2.36875,2.35897435897436,2.38524724228725,2.42857142857143,2.36678928008408,2.33426704014939,2.32160312805474,2.31818181818182,2.38047619047619,2.52567014993185,2.45398773006135,2.33333333333333,2.47678018575851,2.64026402640264,2.45161290322581,2.466,2.44444444444444,2.23182152038193,2.33333333333333,2.35792019347037,2.33333333333333,2.33225108225108,2.30555555555556,2.31438515081206,2.33333333333333,2.42296918767507,2.44888888888889,2.383,2.31382318501171,2.40909090909091,2.38675213675214,2.43055555555556,2.38888888888889,2.43055555555556,2.4375,2.4375,2.48049486461251,2.49187207082104,2.51210235131397,2.53571428571429
"Greater Heights","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63090909090909,1.63454545454545,1.61272727272727,1.5625,1.48809523809524,1.43975903614458,1.47089222294702,1.50409239645225,1.52983469202899,1.51515151515152,1.51430520124717,1.4993481095176,1.5546875,1.425,1.38797619047619,1.575,1.5679347826087,1.64102564102564,1.6921768707483,1.65833333333333,1.68128662941257,1.65833333333333
"South Loop","Chicago","IL","Chicago-Naperville-Elgin","Cook County",51,2.04302103250478,2.14041095890411,1.95519035758762,1.96891654494493,1.9988632724944,2.12738301559792,2.11332490953995,2.10239651416122,2.10721485459098,2.1181920592984,2.11360634081902,2.12315741944806,2.13930348258706,2.2,2.26086956521739,2.17202432667246,2.23400545690013,2.23714759535655,2.22421607378129,2.20315487571702,2.1710758377425,2.15,2.10847534926385,2.13208047945205,2.12600790770029,2.15962441314554,2.22184693756664,2.27779520893523,2.29577822390175,2.30469371519491,2.2704347826087,2.26997578692494,2.22222222222222,2.19685039370079,2.21673808310073,2.17466266866567,2.1294363256785,2.14463030619346,2.179153849288,2.33333333333333,2.37995594713656,2.35969989533049,2.35682590863854,2.35636415959914,2.31889763779528,2.29963898916967,2.28772451302808,2.26150121065375,2.32225433526012,2.24358974358974,2.22588235294118,2.22941176470588,2.24336699486662,2.27179079357065,2.43043545834746,2.47809278350515,2.43850806451613,2.448,2.38701187187337,2.34973834257596,2.44171779141104,2.34160613397902,2.33333333333333,2.33840709156512,2.28289259607526,2.295,2.40833333333333,2.19706242350061,2.29342171989777,2.30769230769231,2.23333333333333,2.33818589025756,2.29328580611231,2.37304458239278,2.41346449977494,2.37578288100209,2.37995594713656,2.40833333333333,2.45501955671447,2.29731949458484,2.2825904467962,2.27369219105383,2.21774624320237,2.3267497023424,2.33333333333333,2.36516853932584,2.3971119133574,2.44938939431194,2.58981001727116,2.79938952499028,2.72270114942529,2.6585,2.52058334439335
"Humboldt Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30791666666667,1.22727272727273,1.22727272727273,1.35,1.38461538461538,1.4625,1.47058823529412,1.395,1.29767441860465,1.28660714285714,1.29583333333333,1.26333333333333,1.29,1.32916666666667,1.41666666666667,1.48083333333333,1.45,1.43478260869565,1.45208333333333,1.42105263157895,1.425,1.42708333333333
"Edgewater","Chicago","IL","Chicago-Naperville-Elgin","Cook County",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64795168067227,1.70294117647059,1.6875,1.734375,1.78125,1.81363636363636,1.765625,1.77777777777778,1.70714285714286,1.79,1.86875,1.935,1.97852822580645,1.77666666666667,1.81818181818182,1.87378202087287,1.90909090909091,1.895,1.875,1.84107692307692,1.72698863636364
"Lake View East","Chicago","IL","Chicago-Naperville-Elgin","Cook County",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81244588744589,1.85,1.70490476190476,1.6875,1.6625,1.6969696969697,1.7121921182266,1.795,1.85960591133005,1.895,1.93685958254269,1.97142857142857,1.95,1.908125,1.795,1.82416936790924,1.79375,1.825,1.85,1.94633333333333,1.99375,1.99,1.98947368421053,2.01,2.03851851851852,1.98571428571429,1.9,1.86858552631579,1.87125,1.8875,1.93875,1.98480087687249,1.94907407407407,1.97765432098765,2.03125,1.99,1.98571428571429,1.92857142857143,1.86875,1.85185185185185
"Fort Greene","New York","NY","New York-Newark-Jersey City","Kings County",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40279855692751,4.26356589147287,4.26978737740511,4.23514344262295,4.31736526946108,4.39377289377289,4.13367079115111,3.96933979189092,3.91746794871795,4.095,4.13103448275862,4.22174040148119,4.14244465832531,4.32741267021906,4.07857142857143,4.52102713178295,4.76309798294795,4.79651162790698,4.79285714285714,4.66111111111111,5.04383553597651,4.89178762095429,4.76248137108793
"North Park","San Diego","CA","San Diego-Carlsbad","San Diego County",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3068526379624,2.23076923076923,2.17708333333333,2.17587837837838,2.33333333333333,2.42599206349206,2.346875,2.34107142857143,2.35714285714286,2.1866852886406,2.2,2.16186252771619,2.44799048122686,2.2991935483871,2.29508196721311,2.48633879781421,2.41666666666667,2.37655555555556,2.39333333333333,2.45833333333333,2.26,2.45522388059702
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83771929824561,2.84986263736264,2.75735294117647,2.76923076923077,2.86666666666667,2.96495956873315,3.1,3.08943089430894,3.09653916211293,3.14285714285714,2.93072824156306,3.112,2.8,2.91847826086957,2.94441095726468,3.00569800569801,3.125,3.01139601139601,3.01139601139601,3.11111111111111,3.25,3.12820512820513,3.16666666666667,3.16006884681583,3.01139601139601,3.01139601139601,2.9425,2.97300323162392,2.86607142857143,3,3.104,3.11815635345047,3.19148936170213,3.09905335628227,3.10818713450292,3.28137817883511,3.47767857142857,3.53448275862069,3.45227272727273
"Capitol Hill","Seattle","WA","Seattle-Tacoma-Bellevue","King County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29034090909091,2.2012987012987,2.15968528368794,2.072,2.07662337662338,2.13878326996198,2.18746575342466,2.15833333333333,2.15640243902439,2.15104640582348,2.09090909090909,2.1,2.32191780821918,2.30751309489379,2.27749709639954,2.20055555555556,2.19,2.18364696734059,2.23145604395604,2.20740740740741,2.19,2.22727272727273,2.21442652329749,2.35668789808917,2.44094488188976,2.43545751633987,2.37268518518519,2.33953033268102,2.17163242009132,2.17579908675799,2.08012820512821,2.26991869918699,2.19434853420195,2.34671052631579,2.45786516853933,2.46323529411765,2.59026736631684,2.59,2.552,2.58916666666667,2.41411633146409,2.70186893203883,2.69230769230769,2.51578947368421,2.67857142857143,2.62527472527473,2.63397129186603,2.8125,2.83277671755725,2.8125,2.56214285714286,2.49375,2.54003759398496,2.57647058823529,2.61309523809524,2.65833333333333,2.65833333333333,2.61625874125874,2.712,2.9,2.89,2.72483164983165,2.5802752293578
