"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings County",11,,,,,,,,,,,,,,,2800,2800,2800,2800,2800,2499,2525,2700,2700,2500,2500,2650,2850,2850,3100,3099.5,3099,3199,3399.5,3599,3500,3450,3250,3300,3300,3399,3400,3599,3300,3300,3399,3400,3300,3200,3200,3375,3300,3272.5,3399,3499,3599,3599,3600,3599,3549,3570,3565,3500,3600,3600,3598,3597,3500,3500,3598,3700,3698,3599.5,3600,3399,3500,3572.5,3500,3600,3600,3600,3595,3500,3449,3599,3499,3500,3595,3600,3600,3600,3585,3599,3400,3400
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,960,950,937.5,817.5,795,790,775,775,895,962.5,850,799,895,847.5,880,895
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.5,1677,1695,1695,1745,1775,1767.5,1700,1737.5,1715,1700,1695,1695,1700,1795,1795,1795,1825,1795,1795,1795,1775
"Northwest","El Paso","TX","El Paso","El Paso County",14,,,,,,,,,,,,,1787.5,1700,1800,1800,1595,1500,1625,1825,1850,1825,1790,1775,1762.5,1700,1595,1745,1750,1700,1550,1625,1650,1650,1650,1650,1625,1600,1600,1600,1797.5,1800,1800,1685,1600,1600,1600,1695,1700,1750,1737.5,1775,1650,1672.5,1600,1772.5,1600,1695,1695,1650,1600,1600,1600,1600,1750,1700,1700,1700,1600,1600,1562.5,1600,1595,1650,1600,1600,1662.5,1750,1750,1697.5,1737.5,1695,1600,1600,1665,1680,1750,1725,1700,1675,1700,1625,1695,1692.5
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",15,,,,,1595,1570.5,1595,1578,1495,1400,1425,1495,1500,1500,1500,1550,1512.5,1500,1500,1497.5,1500,1550,1525,1500,1512.5,1550,1595,1575,1595,1585,1595,1637.5,1595,1595,1595,1595,1595,1595,1595,1595,1600,1650,1595,1600,1600,1600,1575,1575,1595,1600,1600,1650,1700,1650,1700,1697.5,1625,1600,1625,1698.5,1680,1675,1650,1650,1637.5,1695,1712.5,1725,1675,1600,1700,1675,1764.5,1812.5,1755,1842,1839,1800,1880,1837,1800,1837,1850,1849,1900,1895,1850,1923,1960,1895,1885,1975,1920,1950
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,4000,3990,3975,3950,3975,3900,3995,3950,3950,4422.5,4225,4425,4200,4550,4449.5,3950,4069,4000,4000,4500,4150
"Eldridge - West Oaks","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2300,2390,2447.5,2750,2499,2300,2300,2225,2225,2225,2150,1995,1950,2200,2400,2350,2400,2500,2750,2650,2199.5
"Cordova-Appling","Memphis","TN","Memphis","Shelby County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,1547,1500,1525,1495,1525,1512.5,1595,1545,1525,1505,1497.5,1500,1497.5,1495,1550,1577.5,1592.5,1495,1497.5,1495,1565,1577.5
"Ridgewood","New York","NY","New York-Newark-Jersey City","Queens County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3200,3200,3300,3375,3400,3395,3395,3385,3499,3399.5,3499,3400,3500,3560.5,3550,3550,3595,3499,3400,3400,3500,3599.5,3475,3600,3200,3374.5,3350,3300,3400,3400,3500,3595,3500,3399,3399,3400,3450,3302,3302,3350,3400,3400,3400,3483,3400,3400
"East Village","New York","NY","New York-Newark-Jersey City","New York County",20,,,,,,4600,4887.5,4995,4800,4795,4800,4795,5000,5200,5000,4847.5,5000,5150,5200,5400,5372.5,5250,5225,5100,5195,5195,5100,5195,5200,5100,5212.5,5200,5200,5100,5195,5100,5200,5280,5300,5397.5,5500,5600,5900,5739,5739,5739,5700,5739,5739,5600,5600,5800,5760,5600,5747.5,6000,6000,6000,5600,5400,5500,5447.5,5497.5,5600,5800,5777.5,5800,5800,5600,5550,5300,5400,5800,5834,5997.5,5995,6000,6195,6197.5,6195,6000,6000,5800,5680,5800,5897.5,6195,6200,6195,5999,6072.5,5900,5643.5,5495
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2499,2500,2800,2800,2700,2700,2650,2500,2500,2600,2600,2600,2700,2700,2700,2700,2700,2700,2700,2700,2600
"Princess Anne","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.5,1975,1950,1950,2100,2000,1997.5,2000,1995,1950,1950,1972.5,2050,1995,2100,2195,2125,2100,1975,2000,1995
"Kingwood","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1750,1775,1847.5,1850,1850,1925,1995,1999,1999.5,1925,2145,1872.5,1895,1975,2000,2000,1995,1900,1975,1950,1850
"Roxbury","Boston","MA","Boston-Cambridge-Newton","Suffolk County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3300,3225,2950,2837.5,2900,2800,2800,2600,3000,3000,3200,3200,3200,3200,3100,2900,2800,2800,2800,2695
"Centennial Hills","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.5,1425,1450,1475,1450,1497.5,1500,1495,1499,1450,1450,1475,1497.5,1450,1500,1600,1600,1555,1595,1525,1624.5,1650
"Lone Mountain","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1495,1495,1500,1495,1503,1612.5,1500,1495,1590,1587.5,1547.5,1500,1500,1550,1650,1650,1637.5,1585,1597,1595,1602.5
"Lake View","Chicago","IL","Chicago-Naperville-Elgin","Cook County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,2995,3200,3300,3450,3500,3300,3175,3222.5,2995,2995,2995,3200,3200,3443.5,3400,3500,3600,3520,3200,3200,3200
"Hamilton Heights","New York","NY","New York-Newark-Jersey City","New York County",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3350,3447.5,3472.5,3575,3484,3500,3400,3500,3400,3300,3391,3400,3547.5,3397.5,3397.5,3595,3625,3722.5,3872.5,3700,3529
"Summerlin North","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",29,,,,,1672.5,1850,1900,1825,1700,1850,1700,1850,1725,1672.5,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1737.5,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1825,1892.5,1972.5,1895,1900,1899,1850,1795,1772.5,1795,1850,1900,1995,1955,1995,1999,1925,1950,1850,1872.5,1895,1825,1995,2025,1995,1997.5,2000,2100,2047.5,1997.5,1995
"Jamaica Plain","Boston","MA","Boston-Cambridge-Newton","Suffolk County",30,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3100,3000,3100,3100,3100,3150,3200,3000,3000,3200,3200,3137.5,3100,3100,3200,3200,3100,3000,2925,3000,3000,3150,3300,3300,3300,3350,3362.5,3200,3200,3175,3000,3000,3000,3300,3500,3500,3400,3400,3400,3400,3400,3400,3400,3000,3200,3275,3500,3500,3475,3500,3600,3600,3500,3400,3400,3400,3500,3600,3600,3600,3600,3700,3700,3700,3650,3500,3400,3200
"Carmel Valley","San Diego","CA","San Diego-Carlsbad","San Diego County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,4247.5,4500,4500,4500,4390,4100,4200,4350,4425,4375,4500,4500,4375,4525,4600,4695,4350,4500,4500,4395,4450
"Englewood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1225,1262.5,1250,1200,1200,1225,1250,1275,1200,1250,1250,1350,1350,1350,1297.5,1300,1275,1250,1250,1250
"East Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,2995,2900,2900,3000,3100,3000,3000,3000,3000,3100,3100,3100,3100,3200,3200,3100,3100,3000,2950
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk County",34,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2650,2650,2650,2725,2800,2725,2750,2682.5,2800,2900,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,3000,2950,2950,3000,3000,3000,3100,3199,3100,3100,3150,3200,3199,3200,3200,3200,3100,3175,3200,3200,3100,3100,3137.5,3100,3050,3100,3200,3200,3200,3200,3300,3300,3300,3300,3200,3200,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400,3300,3400,3400,3400,3400,3400,3450,3500,3450,3400,3400,3400,3300
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4800,4800,4800,4400,4200,4000,4000,4200,4200,4000,3995,4600,4500,4500,4800,4800,4500,4400,4000
"La Jolla","San Diego","CA","San Diego-Carlsbad","San Diego County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,7500,8000,8400,8000,7500,8000,7997.5,7995,7450,7500,8225,7500,7500,7947.5,7500,7200,6850,6995,8000
"Summerlin South","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204,2135,2200,2200,2200,2050,2000,2000,2050,2032.5,2100,2150,2150,2250,2222.5,2075,2412.5
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2600,2500,2500,2500,2597.5,2550,2525,2500,2500,2500,2520,2597.5,2597.5,2600,2600,2600,2600,2695,2692.5
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,5200,5150,5000,5000,5100,5000,5000,5000,5000,5000,5000,4900,5050,5200,5200,5100,5200,4900,4800,4800,4800,4800
"The Lakes","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1700,1700,1800,1847.5,1812.5,1972.5,1950,1975,1950,1850,1922.5,1895,1850,1950,1950,1950,1895,1950,1997.5,1845
"North Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2900,2900,2900,3000,2800,2800,2750,2600,2800,2650,3000,3000,3200,3200,3200,3200,3200,3100,3050,3000,2900,3000,2900,3000,3195,3200,3200,3200,3100,2900,2900,2800
"Capitol","Madison","WI","Madison","Dane County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2167.5,2125,2185,2125,2023,2005,1927.5,1887.5,1945,2185,2185,2020
"Meadow Woods","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1699,1629,1612.5,1650,1695,1695,1782.5,1720.5,1768,1774.5,1774.5,1749.5,1785,1775,1800,1850,1850,1810,1885,1895,1875
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",44,,,2850,2800,2800,2700,2700,2650,2750,2600,2600,2800,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,2950,3000,3100,3100,3050,3050,3050,3000,3000,3000,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3000,3200,3300,3400,3300,3300,3200,3200,3200,3100,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3325,3200,3200,3200,3100,3525,3600,3600,3600,3600,3600,3500,3500,3500,3472.5,3200,3600,3795,3800,3800,3800,3800,3795,3795,3700,3600,3600,3550
"Fenway","Boston","MA","Boston-Cambridge-Newton","Suffolk County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,5500,5600,5500,5400,5150,5200,5000,5000,5000,4800,5400,5300,5350,5500,5500,5300,5400,5600,5600,5500,5400,5300
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",46,,,,,,,,,,,,3600,3400,3400,3350,3250,3275,3400,3400,3400,3400,3400,3400,3450,3600,3600,3600,3600,3600,3600,3675,3600,3600,3600,3800,3800,3800,3800,3800,3800,3870,3800,3800,3700,3662.5,3750,3800,4000,4000,4000,3900,3900,3850,3850,3800,3650,3600,3600,3800,4000,4100,4100,4000,4000,3999,3900,3800,3775,3600,3500,3637.5,4000,4200,4200,4200,4000,4000,3999.5,3900,3800,3825,3997,4000,4200,4200,4200,4100,4000,4000,4000,4000,3950,3800,3850
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3350,3450,3500,3500,3500,3400,3300,3000,3000,3000,3000,3400,3250,3375,3800,3500,3800,3550,3200,2800,2800,2800,3100,3600,3700,3750,3942.5,3800,3400,3200,3050,3125,3200,3200,3500,3500,4123.5,4150,4000,4000,4000,3600,3500
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2400,2100,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2200,2200,2200,2260,2200,2200,2200,2200,2000,2000,2200,2200,2260,2200,2200,2200,2200,2200,2200,2100,2100,2000,2100,2200,2320,2400,2300,2300,2200,2300,2200,2200,2200,2200,2300,2400,2360,2340,2320,2300,2260,2200,2200,2200,2200,2200,2380,2400
"North Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4800,4800,4675,4500,4500,4500,4000,3999.5,3850,4000,4000,4500,4500,4800,4500,4500,4495,4250,3900,4250,4350
"Winter Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3695,3550,3475,3475,3475,3475,3300,3300,3075,3000,2950,3300,3800,3800,3685,3525,3575,3747.5,3850,3800
"Nonantum","Newton","MA","Boston-Cambridge-Newton","Middlesex County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3525,3600,3400,3000,3200,3300,3300,2800,2900,3000,3300,3344.5,3750,3600,3600,3500,3400,3400,3200
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3800,4000,4299,4000,3900,3900,3800,3875,4000,3800,3450,3200,3360,3825,4100,4100,4049.5,4000,4000,3800,3675
"Davis Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3897.5,4100,4400,4200,4000,4000,3900,3600,3550,3500,3500,3500,3850,4500,4400,4100,4000,4000,3975,3800,3700
"Aspinwall Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3800,4100,4200,4100,4100,4100,4100,4100,3800,4100,4200,4200,4000,4000,3750,3750,3600,3400,3200,3100
"Central Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3475,3400,3650,3400,3400,3600,3600,3600,3600,4200,4000,4000,3600,3600,3900
"East Hampton North","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34500,37500,36000,38000,38000,38000,39000,42500,38000,35000,33500,33500,32000,31000,30000,29250,30000,28500,30000,28000
"Ball Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3950,3800,3800,3800,3700,3700,3800,3940,4099.5,4450,4200,4200,4000,4000,3750,3900,3900
"Northwest Harbor","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,40000,39000,40000,39000,35000,30000,34000,30000,30000,30000,30000,28250,28000
