"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Northwest","WA","Portland-Vancouver-Hillsboro","Clark County","Vancouver",3909,1836,0.000544959128065395,0.000544959128065395,0.00382722799343904,1189
2018-11-30,"Holy Cross","LA","New Orleans-Metairie","Orleans Parish","New Orleans",3910,1178,0.0546105640107431,0.0689655172413793,-0.102817974105103,739
2018-11-30,"Arrowview","CA","Riverside-San Bernardino-Ontario","San Bernardino County","San Bernardino",3911,1500,0.0121457489878542,0.0238907849829352,0.0623229461756374,862
2018-11-30,"French Quarter","LA","New Orleans-Metairie","Orleans Parish","New Orleans",3912,1937,-0.00360082304526749,-0.011734693877551,-0.101576994434137,998
2018-11-30,"Shelby Park","KY","Louisville/Jefferson County","Jefferson County","Louisville",3913,900,0.0123734533183352,0.0158013544018059,0.0146561443066516,761
2018-11-30,"Brookside Woods","OH","Columbus","Franklin County","Columbus",3914,1690,0.0174593618302228,0.0186859553948162,-0.0521592821088054,705
2018-11-30,"Hale","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Minneapolis",3915,2015,0.00398604882909816,0.00850850850850851,-0.00395452298566485,1204
2018-11-30,"DUMBO","NY","New York-Newark-Jersey City","Kings County","New York",3916,4369,0.0224666510648257,0.0272748648013167,-0.0577959887858529,1106
2018-11-30,"Minshall Park","OK","Tulsa","Tulsa County","Tulsa",3917,1447,0.00555941626129257,0.00346740638002774,-0.0346897931954636,791
2018-11-30,"Knolls West","OH","Columbus","Franklin County","Columbus",3918,1605,0.00753295668549906,0.00943396226415094,-0.00619195046439629,946
2018-11-30,"Park Meadow","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",3919,2237,0.0172805820827649,0.027089072543618,-0.0423801369863014,674
2018-11-30,"LaSalle College Park","MI","Detroit-Warren-Dearborn","Wayne County","Detroit",3920,754,0.00667556742323097,0.00937081659973226,0.0161725067385445,1644
2018-11-30,"Hidden Hills","FL","Jacksonville","Duval County","Jacksonville",3921,1303,0.00851393188854489,0.010077519379845,0.0399042298483639,1357
2018-11-30,"Longs Creek","TX","San Antonio-New Braunfels","Bexar County","San Antonio",3922,1486,0.0108843537414966,0.0185058259081563,0.0171115674195756,1506
2018-11-30,"Tarpon River","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Fort Lauderdale",3923,1845,0.0126234906695939,0.00985221674876847,-0.00592672413793103,1488
2018-11-30,"Roosevelt","OH","Toledo","Lucas County","Toledo",3924,675,0.0119940029985008,0.00746268656716418,-0.0343347639484979,1422
2018-11-30,"Coral Ridge Isles","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Fort Lauderdale",3925,2533,0.00436161776367962,0.00996810207336523,0.0406737880032868,1192
2018-11-30,"North Highland","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",3926,1951,0.0182672233820459,0.0198640878201777,0.00722767165720186,1088
2018-11-30,"Sterling","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",3927,1105,0.0109789569990851,0.015625,0.0269516728624535,832
2018-11-30,"Monica Park","TX","Dallas-Fort Worth-Arlington","Dallas County","Garland",3928,1257,0.00640512409927942,0.00882825040128411,0.00963855421686747,812
2018-11-30,"Upper East Side","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",3929,2288,-0.0125161847216228,-0.0082358040745557,-0.0218041898247114,486
2018-11-30,"Lakeside","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",3930,3067,0.00656383327863472,0.00623359580052494,0.00359947643979058,631
2018-11-30,"Dutchtown","NY","Rochester","Monroe County","Rochester",3931,902,-0.00110741971207087,0.00110987791342952,0.066193853427896,755
2018-11-30,"Browncroft","NY","Rochester","Monroe County","Rochester",3932,1438,0.00912280701754386,0.0148200423429781,-0.0290344361917623,1151
2018-11-30,"North Michigan Park","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",3933,2447,0.0149315636665284,0.0221386800334169,-0.00931174089068826,1116
2018-11-30,"Channel District","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",3934,1752,0.000571102227298686,0.00171526586620926,0.0774907749077491,1911
2018-11-30,"Mark Twain","MO","St. Louis","Saint Louis City","Saint Louis",3935,755,0.00532623169107856,0.00801068090787717,-0.00264200792602378,1334
2018-11-30,"Pen Lucy","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",3936,1256,0.00239425379090184,0.00239425379090184,-0.0202808112324493,860
2018-11-30,"Jackson Heights","AL","Mobile","Mobile County","Mobile",3937,1004,0.00500500500500501,0.00904522613065327,0.00601202404809619,915
2018-11-30,"Greater South","NE","Lincoln","Lancaster County","Lincoln",3938,1279,0.00550314465408805,0.00708661417322835,-0.00929512006196747,1512
2018-11-30,"Madison Area","MI","Grand Rapids-Wyoming","Kent County","Grand Rapids",3939,1063,0.0181992337164751,0.0221153846153846,-0.0157407407407407,850
2018-11-30,"East of I-30","AR","Little Rock-North Little Rock-Conway","Pulaski County","Little Rock",3940,692,0.00144717800289436,0.00289855072463768,0.00435413642960813,1205
2018-11-30,"Arbor Greene","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",3941,2118,-0.00423131170662906,-0.00423131170662906,0.0158273381294964,1245
2018-11-30,"Arlington Park","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",3942,1646,0.00182592818015825,0.00488400488400488,-0.0173134328358209,1459
2018-11-30,"Alabama Hill","WA","Bellingham","Whatcom County","Bellingham",3943,1863,0.0298507462686567,0.0361512791991101,-0.0230728893550079,992
2018-11-30,"Highland Park","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",3944,1961,0.00770811921891059,0.0108247422680412,0.0381154049761779,968
