"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Willow Glen","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",37,637950,649990,648888,649950,649975,650000,649900,650000,649000,649937.5,649700,649925,635000,635000,617450,629000,625000,616987.5,629000,616500,599950,599000,599925,599999,598765,599000,598000,617000,630000,641674,639000,645340,649999,679000,695000,699450,694500,699000,699450,738000,748500,750000,749475,749000,749950,744000,739000,739950,759000,798000,799475,798000,775497.5,789949.5,799000,799000,827000,849944,849000,8e+05,799000,849500,895000,898000,899000,899000,908500,935000,909500,929900,950000,950000,950000,976500,998000,1045000,998500,980000,972000,998000,999998,1029000,1029500,998944,1073500,1124000,1099000,1099000,1099000,1088000,1088000,1098000,1129000,1150000,1149444,1149000,1199499.5,1249000,1299000,1299475,1299950,1329000,1299999.5,1349000,1328844,1350000,1349888
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",38,140000,139900,137275,138500,139900,139900,139945,139900,138000,139900,139900,139000,138000,139900,139900,137675,138000,137900,136450,138950,137500,137200,135000,135000,135000,134900,132000,135000,134900,138850,139900,139900,139900,139900,145000,145000,143900,142950,144000,145000,146500,146950,149900,149900,152900,146750,145850,149000,149900,150000,154450,154900,152200,155000,153450,150000,150000,155000,149974.5,150000,153000,162000,159450,159900,159900,164900,169899,169699.5,168000,169249.5,169900,170000,175000,174750,171900,175800,179000,180000,179900,182500,185000,185500,185000,190713.5,194950,196900,199900,199900,205000,209900,209250,210000,213000,212500,215000,214950,213000,219600,219900,225000,224900,225000,228900,230000,230000,229950,236000
"Northwest","El Paso","TX","El Paso","El Paso County",39,134950,135000,135250,134950,134975,135975,134350,134900,129900,129900,130500,129900,131000,129950,129900,129900,129900,129950,129925,132700,132800,133900,129950,131500,131750,129925,128500,128950,129825,125950,129995,129900,129500,129900,129500,129900,129500,129900,130000,131750,130835,129900,129900,129925,130950,132830.5,129950,129775,129000,128500,134000,130000,129900,129819,129888,129900,131400,129900,129500,129750,129500,129000,129000,127850,128900,129900,129900,129000,130000,131725,130000,134900,135150,135000,132450,133000,129700,129950,129950,130000,133800,134995,136900,136449.5,135000,135900,139000,138213,138975,139200,139900,139925,139900,139980,139869,139500,139650,139800,139950,139950,145000,142250,138499.5,143250,144950,145000,145000
"Canarsie","New York","NY","New York-Newark-Jersey City","Kings County",40,399000,399000,397000,397000,399000,399000,399000,399000,399000,389000,389000,389000,379000,369000,369000,369000,375000,375000,369000,369000,369000,369000,369000,369000,379000,379000,379000,374999,375000,379000,379000,389000,389000,389000,395000,389000,380000,379000,380000,389000,390000,394000,389000,389000,389000,389000,397000,395000,389000,389000,389000,399000,395000,399000,399000,389000,379000,379000,382500,379000,379500,379000,385000,389000,399000,379000,385000,389500,399000,399000,399000,415000,412000,439000,429000,429450,429000,429000,429000,419999,419999,419499.5,412450,429000,434450,434450,427000,429900,429000,429450,430000,429900,437000,449000,467000,475000,467500,475000,449000,464000,449000,475000,469999,469450,466500,475000,469000
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97500,95000,95000,94900,94450,94900,93000,94900,96950,96950,92950,93000,92900,93000,90000,89900,89950,99500,99000,1e+05,98500,105000,105000,99999,102914,1e+05,1e+05,108450,105000,110000,110000,106500,109700,114900,110000,110000,110000,113500,119900,114250
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",42,399000,399000,399000,399000,399500,399250,4e+05,399000,399000,399000,399000,395000,399000,399900,390000,379000,377250,369000,362450,364975,360000,349975,350000,349975,349900,350000,349000,357000,349000,349000,366900,369350,360000,354750,369500,369500,377000,382750,402000,407450,439500,449000,459000,454500,462500,449900,459000,459000,459000,439000,449000,449000,449000,450000,474900,478999.5,471950,488750,495000,507450,495000,492000,499000,509900,509000,502500,499999.5,519000,522000,519950,519999.5,520000,519500,519000,519000,529000,534900,549000,549999,569000,569450,564499.5,549949.5,549000,559000,565000,565000,572500,587000,599000,607450,599500,599000,619475,644500,639000,635000,635000,620250,625000,631958,647000,649000,640000,640501,639949.5,619000
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477500,489000,499500,499500,519000,475000,488950,529000,567000,579999,559000,539900,542450,566000,579000,579000,579495,577000,576000,589900,549950,595900,597500,597500,599000,599000,589000,579990,575000,595000,605000,605000,595000,599000,612500,609750,609000,609500,609500,639000,629000,654500,659000,662029.5,650000,639500,644000,682000,679000,669000,659000,660000,660000,659000,679000,697000,719000,714000,720000,729500,719500,719000,720000,749000,739999
"Logan Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",44,219999.5,219900,221750,223500,216000,215500,219000,209800,209850,209500,202449.5,199000,199000,206200,202000,199900,198999.5,199000,189900,189900,185000,180450,179950,183700,185000,175000,177500,177000,179500,179900,180000,184900,184950,189500,180700,169900,159900,174900,172900,183400,189000,189000,186830,184900,189900,192400,194950,199950,199900,2e+05,199000,199900,209900,219249.5,219000,209950,210000,199950,203250,205000,202500,199949.5,199949.5,199900,204950,210000,215000,2e+05,2e+05,207000,199000,199000,189900,205750,219900,225000,219900,219900,214900,222500,230000,229950,229900,229000,229900,225000,229900,239000,243700,245000,239000,239700,245000,249000,249900,249900,249900,249900,259000,259950,257000,250000,249900,250000,249900,247450,249900
"Preston Hollow","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",45,157800,153000,159000,158000,159900,157500,159000,155250,155000,157500,154900,155000,159500,159900,159250,159000,159000,159000,159000,155000,153950,149900,149900,149900,146250,149900,151950,159900,150000,150000,159900,150000,152450,154900,159900,155000,155000,159900,168000,165000,164825,163800,164900,159900,154900,159900,154900,159000,155200,172450,166000,159000,169900,174000,159950,177500,160000,179000,169000,177900,169500,172850,184000,187000,189900,195000,189900,188950,199000,194950,194950,198250,205000,212500,195000,193450,222500,225000,196500,210000,237500,249000,242450,244900,239950,235000,228250,234950,225000,245000,254450,255000,249500,253000,259000,260000,270000,270000,265000,265000,270000,272500,280000,275000,271000,275000,278999
"Estrella","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",46,134900,134900,133000,134900,131700,130000,127250,125000,129000,125950,124950,124900,123900,124900,124900,123250,120000,124950,119900,118350,115000,116850,119900,119950,120000,122000,126650,130200,134400,134900,134900,140000,139888,143450,140990,148950,149945,150000,154900,159500,165490,169900,171025,167945,172495,172000,172968.5,174900,172200,174900,174995,177995,177245,178900,179900,184925,179900,179999.5,185000,185000,185995,182400,185000,187000,188299,185000,188950,188425,192900,192000,195000,197950,198200,195000,203700,2e+05,205000,205000,210000,209650,209000,209900,210000,209000,209900,210000,214000,214900,215000,216900,216900,219950,219999.5,220000,222750,223500,225000,228950,229950,230000,235000,240000,239900,239000,239900,240000,245245
"Sun Valley","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",47,396500,399000,395000,395000,392800,391400,389000,385000,380000,379450,380000,385000,385000,370000,365650,368000,377000,377000,367650,359950,359000,359250,359950,354500,349700,349450,348500,349000,359000,359750,359900,369950,373700,375000,382500,387000,389250,389900,399450,389000,404950,430000,429950,430000,439000,439000,444975,449850.5,450000,445000,447000,449900,449000,450000,459000,469000,459450,464950,468800,459900,450000,464500,484484,489000,489000,489995,499000,499000,489000,489450,499000,535000,539000,499925,524999,519915,529000,539000,540000,549000,542500,555000,565000,565775,563586,569000,569982.5,582237.5,579000,590000,590000,580000,580000,589000,595000,594999.5,589500,592499.5,599000,610000,629000,610000,624700,599997,619450,630000,629999.5
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",48,439000,434750,439000,439700,448000,445500,435000,439000,439000,432500,437000,435000,425000,425000,414950,424900,417000,429000,425000,415000,409900,399950,399900,415000,414900,399950,4e+05,412500,417000,417500,415000,413900,399974.5,419975,419900,427000,449000,429000,449000,454949.5,450000,475000,485000,499950,499500,499000,499000,499000,499000,524900,524900,524950,539990,544990,539970,540000,546495,548495,541000,549000,553945,559000,549000,560000,568000,554999.5,549999,567500,580000,599950,599923.5,605000,602500,599000,599000,609975,647000,639700,622000,638438,625000,639499.5,639900,629950,642500,635000,639949,630000,649000,657000,649700,649950,649999,650000,650000,650000,639900,659900,669900,679950,679000,699000,699999,699000,689000,679000,675000
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",49,164900,164999.5,165000,160000,156950,151900,150000,150000,149900,148500,145000,140000,140000,139900,139900,139250,137000,135000,133950,134900,134900,137700,135000,138498,139000,139900,139900,142750,140000,149900,147900,145495,145000,145000,149800,150000,155000,155000,155000,159000,159900,157900,158000,157000,163950,166500,167700,169900,172500,175000,175000,179900,175500,176750,178000,179900,175250,177950,175000,179250,175000,179000,179900,184999,186750,189500,189900,195000,190000,189900,194000,194000,195000,189900,193750,2e+05,203000,205900,210000,209995,213000,220000,220000,219900,225000,221000,225000,228750,228950,229900,234900,232000,239000,239500,235950,239900,240000,240000,235000,239250,239900,250000,250000,250000,250000,250000,249945
"South Ozone Park","New York","NY","New York-Newark-Jersey City","Queens County",50,399000,399000,395000,389000,392000,395000,395000,389498.5,387000,389000,379000,380000,379000,375000,375000,375000,369000,369000,375000,379000,379000,375450,375000,375000,369900,360450,369000,360000,369000,369000,369000,359000,350000,349999,349000,349000,349000,350000,349000,350000,359450,365000,362450,359000,365000,369000,369000,375000,379900,379000,369999,377000,379000,389000,389900,399000,399000,409000,422000,433949.5,425000,425000,425000,425000,429995,449000,429995,429995,429250,439000,434500,439000,439000,440353,449000,449495,449000,459000,449495,449000,459000,467000,450000,459999,459999.5,465000,459000,469000,479000,479000,479000,471250,479000,487000,489000,499000,497777,496888,499000,497777,499000,505000,5e+05,519000,509499.5,519000,504000
