"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Gibson Springs","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1397.5,1412.5,1550,1500,1482.5,1475,1400,1410,1450,1475,1460,1465,1415,1415,1425,1425,1599.5,1662,1649,1549,1512.5,1464,1450
"Buckroe","Hampton","VA","Virginia Beach-Norfolk-Newport News","Hampton City",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1225,1195,1100,1125,1100,1100,1095,1025,1075,1050,1025,1000,1025,1100,1200,1197.5,1200,1225,1200,1097.5,1125
"North Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3500,3600,3600,3437.5,3300,3200,3175,3000,3175,3300,3665,3700,3600,3600,3530,3400,3450,3200,3300,3150,3300,3160,3000,3150,3300,3450,3450,3595,3575,3500,3500,3600,3375,3390,3390,3400,3500,3500,3400,3300,3300,3090,3000,3200
"Mid-Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597.5,3600,3695,3600,3600,3600,3600,3600,3600,3600,3600,3647.5,3500,3600,3600,3695,3795,3700,3700,3600,3500,3422.5
"Graduate Hospital","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172.5,2350,2500,2395,2400,2400,2350,2325,2195,2125,2050,2050,2200,2350,2500,2500,2500,2500,2400,2375,2500
"Riverside","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3600,3850,3700,3600,3550,3500,3715,3950,3975,3725,3537.5,3900,3900,3899,3800,3700,3600,3600,3600,3650,3650
"Del Rio","Jacksonville","FL","Jacksonville","Duval County",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,1495,1495,1495,1481,1500,1500,1497.5,1512,1524,1550,1499,1514,1550,1557,1595,1571,1550,1524
"Cambridgeport","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",293,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3300,3600,3300,3300,3000,3200,3450,3400,3400,3400,3707,3350,3350,3300,3200,3200,3300,3300,3400,3400,3390,3250,3300,3300,3300,3300,3250,3300,3300,3300,3300,3100,3000,3000,3000,3300,3300,3300,3400,3400,3500,3300,3300,3275,3000,3300,3400,3400,3449,3500,3450,3400,3400,3325,3300,3100,3400,3500,3400,3550,3795.5,3975,3650,3600,3625,3300,3300,3300
"Bay Terrace","New York","NY","New York-Newark-Jersey City","Queens County",294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2500,2475,2450,2400,2500,2500,2500,2500,2500,2400,2500,2500,2500,2500,2500,2500,2500,2500,2475,2500,2550
"The Waterfront","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4685,4520,4592.5,4595,4600,4555,4432.5,4462.5,4665,4650,4485,4657.5,4682.5,4670,4540
"Mercury Central","Hampton","VA","Virginia Beach-Norfolk-Newport News","Hampton City",296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1450,1450,1340,1450,1470,1515,1522.5,1530,1530,1405,1370,1370,1355,1407.5,1420,1567.5,1510,1495,1470,1523,1465
"Peabody","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3550,3550,3670,3722.5,3775,3500,3500,3400,3400,3400,3600,3400,3300,3800,3500,3600,3600,3495,3495,3497.5,3300
"Corona del Mar","Newport Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5447.5,5900,5947.5,6000,6100,6100,6100,6000,5750,5600,5900,6400,6000,6850,6000,5900,6500,6500,6347.5,6500,6000
"Ballantyne West","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1559,1672.5,1695,1600,1700,1731.5,1695,1633,1650,1600,1695,1625,1669,1786,1715,1721,1750,1739,1780,1750,1750
"Central College Station","College Station","TX","College Station-Bryan","Brazos County",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1300,1300,1300,1295,1285,1200,1197.5,1195,1150,1195,1200,1300,1275,1250,1200,1200,1150,1100,1150,1162.5
"Park West","Chicago","IL","Chicago-Naperville-Elgin","Cook County",301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3075,2900,2700,2872.5,2685,2660,2595,2495,2580,2595,2675,2675,2595,2550,2695,2695,2695,2800,2925,2700
"Grand Crossing","Chicago","IL","Chicago-Naperville-Elgin","Cook County",302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1150,1150,1150,1150,1150,1150,1150,1150,1175,1150,1150,1150,1100,1150,1200,1200,1200,1150,1125,1150,1100
"Winter Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2150,2237.5,2300,2300,2350,2400,2400,2400,2375,2400,2250,2225,2200,2100,2200,2350,2400,2400,2375,2400,2400,2275,2400,2400,2400,2400,2400,2400,2500,2500,2525,2675,2712.5,2775,2750,2700,2600,2400,2425,2700,2700,2800,2850,2800,2750,2600,2550,2575,2550,2500,2600,2725,2850,2924,2862.5,2700,2875,2950,2950
"Issaquah Highlands","Issaquah","WA","Seattle-Tacoma-Bellevue","King County",304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.5,2600,2639.5,2600,2694,2700,2700,2700,2656,2500,2395,2300,2400,2511,2539.5,2580,2685,2815,2725,2695,2661,2497.5
"Baymeadows","Jacksonville","FL","Jacksonville","Duval County",305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1220,1240,1350,1350,1325,1300,1250,1195,1328.5,1380,1400,1454,1431.5,1375,1400,1375,1420,1457.5,1450,1350,1350
"Steele Creek","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1422,1425,1450,1445,1470,1495,1455,1495,1480,1445,1450,1450,1495,1450,1495,1450,1439,1512.5,1550,1480,1495
"Washington Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1350,1375,1250,1200,1207,1228.5,1250,1207,1200,1200,1200,1300,1300,1275,1275,1300,1275,1287.5,1275,1250,1250,1250,1250
"North-East Coconut Grove","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4500,5000,4825,4500,4300,4400,4400,4150,3900,3850,4100,3775,4000,4000,3995,4200,4000,4500,4500,4850
"Woodbury","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3300,3350,3400,3350,3325,3300,3300,3250,3300,3400,3350,3372.5,3380,3395,3300,3300,3300,3400,3300,3250
"Roscoe Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2500,2475,2475,2500,2550,2295,2215,2215,2215,2215,2295,2295,2300,2325,2300,2300,2250,2150,2150
"Sheffield Neighbors","Chicago","IL","Chicago-Naperville-Elgin","Cook County",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.5,2695,2800,2795,2795,2775,2785,2650,2595,2595,2695,2697.5,2612.5,2595,2700,2795,2800,2795,2795,2700
"North End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",312,,,,,,,,,,,,,,,,3400,3400,3400,3300,3300,3400,3400,3400,3400,3400,3400,3497.5,3500,3500,3500,3600,3512.5,3500,3400,3500,3400,3500,3600,3600,3750,3600,3600,3600,3600,3500,3500,3400,3400,3500,3595,3717.5,3650,3690,3650,3600,3600,3500,3500,3500,3500,3500,3600,3695,3750,3750,3795,3750,3800,3795,3600,3600,3400,3500,3500,3600,3600,3700,3800,3600,3690,3600,3500,3525,3600,3600,3600,3600,3700,3800,3800,3800,3600,3600,3600
"Nonantum","Newton","MA","Boston-Cambridge-Newton","Middlesex County",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2850,2600,2400,2499,2499,2425,2475,2475,2600,2700,3000,2925,2700,2650,2625,2550,2400,2400,2400,2400,2550,2700,2800,2900,2850,2700,2700,2700
"Wrightwood Neighbors","Chicago","IL","Chicago-Naperville-Elgin","Cook County",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2995,2787.5,2762.5,2950,3160,3097.5,2995,2800,2800,2800,2762.5,2850,2850,2895,2875,2875,2994,2800,2800,2800,2895
"West Passyunk","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1156,1173,1200,1225,1225,1250,1250,1200,1275,1300,1200
"West Newton","Newton","MA","Boston-Cambridge-Newton","Middlesex County",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2700,3000,3000,2800,2825,2875,2700,2600,2600,2600,2600,2800,2825,2950,3400,3000,2800,2700,2700
"Palm Aire","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1550,1600,1600,1700,1797.5,1800,1700,1700,1699,1700,1700,1700,1700,1650,1650,1650,1700,1750,1850,1790,1750
"East Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3275,3200,3375,3600,3600,3300,3100,3100,3450,3500,3400,3450,3550,3600,3400,3375,3350,3400,3800,3600
