"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000,328975,354950,366950,385000,418000,439000,419900,420000,406000,405000,420000,424990,469250,450000,499000,472450,469900,470000,463000,475500,493500,492450,489000,469900,499000,489000,487000,497287.5,511500,529000,529000,562000,532450,539450,544000,589000,555000,550000,549500,591975,618500,594000,581500,579000,627000,609950,609906,599000,599000,599000,599995,599000,619000,619000,594000,594000,595000,599000,612497.5,597125,615000,615000,649000,665000,659000,675000,695500,699000,715000,745750,752450,769900,750000
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",41,519000,509500,525000,532000,510000,499929,529900,522000,490500,475000,439450,459450,435950,459900,435000,454000,434500,419950,422500,425000,457000,420000,420000,399250,397000,409000,399000,442000,399000,389500,399500,444500,444000,444000,446500,444000,459000,455000,484000,499450,499900,525000,525000,505000,519000,525000,519950,499900,547500,529000,529000,529250,577000,565500,565000,577000,549500,542000,569495,572000,549500,557000,550000,564500,557000,559000,550000,579700,590260,590260,579350,579350,599000,598000,614950,635000,624000,610000,614500,628000,628000,646000,665000,654450,654450,654450,649900,649900,689000,654000,639000,629000,619999,619999,626000,609999.5,665000,650000,680000,665000,659999,639000,620000,667000,657000,649900,670000
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",42,550000,522450,540000,525000,527000,539500,545000,541950,544000,519000,519950,514450,499925,509900,5e+05,520000,529950,529950,549000,521500,499975,499000,479450,478500,477000,476950,489900,484950,487000,525000,529450,525000,538100,5e+05,527000,537000,537000,549000,559450,569950,589950,620000,629475,649000,629000,624900,625000,599950,645000,599500,599700,630000,635000,658499.5,658974.5,649950,643950,630000,649749.5,675000,661500,659000,654500,659999.5,649000,649000,680000,692500,699000,685000,689986,695000,689000,694000,699000,699925,699000,699000,722494.5,724499.5,729000,739500,699999,699949.5,699999,699950,716944,739000,730000,739000,725000,722750,731500,749000,739000,759500,769000,769000,785000,787000,799000,832000,825000,799999,808999.5,799999,799000
"Eldridge - West Oaks","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324997.5,312400,292000,280000,279950,309000,299900,309000,318990,299900,284750,308495,324000,325000,315000,318990,319900,324450,315445,325000,335000,347495,349000,339900,324950,320976,320000,324238,324184,315900,323298,319000,320000,315000,298000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",44,669000,649000,629000,659000,629000,640000,649000,669000,649000,628950,639000,635000,619000,599900,599000,599450,620000,616950,599000,599000,585000,595900,575000,559000,599000,617500,649000,649000,635000,675000,675000,625000,622000,6e+05,639000,689900,690000,689900,699000,699000,699000,735900,749500,732450,749000,766900,757000,766900,782000,749000,729000,699000,704975,799000,789000,772500,774000,739900,749949.5,764500,779900,779900,785000,794475,799000,799000,799000,799500,799000,877000,860000,849999,9e+05,885000,899000,899500,995000,950000,899900,859000,876950,849475,850000,850000,883950,879000,849950,864500,879000,899000,894449,912000,949450,985000,989000,945000,925000,979999,999000,999000,999000,999000,995000,989000,1095000,1064500,1119500
"Pacoima","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",45,210000,2e+05,205000,220000,225000,227900,225000,225000,220000,219000,219900,219000,220000,214652.5,220000,219500,217530,225000,217000,202450,210000,220000,217950,209950,219000,199900,199600,209000,209900,212000,219000,224900,230000,229950,245950,224950,260000,265000,260000,260000,262500,271950,285000,294975,294975,319950,324950,312500,329975,315000,329000,324500,339900,337000,330000,342000,322495,330000,329000,329000,329000,329000,328499,334450,319900,329900,350000,362500,365000,369000,374500,372500,365000,385000,385000,399000,399000,399000,399975,409000,399950,413450,419000,417000,424975,414974.5,414999.5,415331,419900,425000,419450,425000,425000,419900,419900,419900,437000,433500,429900,437999,450000,459995,457450,459495,475000,450000,449450
"Southwest","Chula Vista","CA","San Diego-Carlsbad","San Diego County",46,,,,,,,,,,,,,,,,,244950,249000,239900,227450,230000,235000,225900,220000,225000,225500,219000,210500,212950,225000,235000,218500,240000,235000,240000,240000,240000,265000,269900,269000,260000,262500,265000,286500,299000,3e+05,299999,299900,304500,331055,344800,345000,324999,332210,349450,360000,355000,355000,340000,340000,344000,339950,383995,380000,387450,365000,390000,389450,385000,389900,389450,380000,387450,399000,409450,409000,409900,412000,417450,424925,429900,431950,429000,429000,424500,430000,440000,447000,439000,435000,432500,435000,432500,439000,435000,440000,445925,446850,447450,449900,450000,479900,469750,473202,475000,475000,459000
"Canyon Country","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,359925,350000,360000,357450,359900,353700,375000,393999.5,389950,389999,386500,385000,399999,399000,399900,399999,396950,399000,4e+05,415000,420000,416250,414950,416500,424000,429900,428000,434500,425000,430000,440000,442500,441900,450000,454000,449944,454250,458500,469900,479450,495000,499000,497444,495888,499000,495000,495000,499900,499900,499900,499900,499990,498500,499999,499999,509000,515000
"Mira Mesa","San Diego","CA","San Diego-Carlsbad","San Diego County",48,347444,349950,355000,366400,356500,359500,375000,375000,375000,359900,365000,359900,363950,362000,360000,359900,355000,364950,359000,346250,335578,334876,335628,334950,340000,332438,329950,330000,340000,340000,340000,342700,345000,349000,349950,369000,369500,375000,392000,399000,399000,425000,427000,435000,429000,421950,414900,439000,439000,435000,435000,450000,445000,449900,459500,469000,466450,469000,475000,475000,469900,484950,494950,492450,490000,489995,495000,496000,496000,497000,484497,495000,475000,519950,525000,529900,535000,540400,535450,544900,545000,527000,532000,524950,519950,524950,535000,544450,562400,550000,545000,548500,550000,559000,559000,564950,565000,570000,582450,575000,624950,620000,615000,615000,619000,6e+05,614900
"West Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",49,347331,349900,345000,330000,345000,350000,349900,350000,329900,328450,330000,329900,327750,323250,320750,329450,322450,319000,319900,319950,320216.5,324000,325000,319900,319950,315000,315000,319000,320000,335000,339900,337450,339950,340500,347000,342500,350000,354500,379000,399000,412500,419950,418500,419000,410000,399500,385000,405000,414950,420000,422500,429900,430900,449000,449000,450000,450000,455000,449980,440000,449000,449949.5,449900,465000,476950,479450,479900,484900,475000,470000,467000,469000,465000,489900,497450,509000,519500,499000,499000,510000,509900,514450,499000,499444,5e+05,5e+05,527000,535000,549450,542900,539900,545950,549000,549000,538000,537500,535000,534950,525000,560000,575000,572300,588944,589000,592450,589000,589900
"Cordova-Appling","Memphis","TN","Memphis","Shelby County",50,127500,127000,127900,125000,125500,124900,123975,120000,119900,121450,119900,119900,118950,119900,119900,119900,119900,119000,118000,117250,115450,114900,110000,110000,112450,110000,112700,112900,110900,111000,109900,110000,110000,114450,114900,114900,115000,112000,112900,115000,118000,119900,123500,123950,124900,124900,124900,125000,124900,117900,119900,124000,124900,130900,134900,129900,127500,124900,119000,117950,122100,124950,124900,125000,125000,125000,125000,136250,135900,134900,133450,130000,129900,129900,129900,129900,129900,130000,132500,129900,128900,128450,129500,130000,129900,135700,129900,135000,134950,135000,135000,138000,145000,139900,138950,138000,140000,139900,139000,145000,147300,149900,155000,152900,145450,144950,148200
"Northwest Raleigh","Raleigh","NC","Raleigh","Wake County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316995,316995,315995,309995,321495,318995,264900,255000,269990,269990,264900,252990,260000,289900,309995,347995,359500,358500,335500,276990,289900,299500,335900,295000,268490
"Valencia","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",52,380000,375000,386350,384250,375000,379900,365950,367925,375000,359945,367925,362500,359000,363000,368000,359000,355450,365000,350000,349999.5,350000,349999.5,350000,349000,349000,349000,349900,349900,359900,349999,355888,369000,369000,347450,340000,375000,379900,399000,399900,399000,418000,425000,452500,469900,460000,439900,449000,439000,449450,462500,449750,449999,459975,459900,459000,447500,449999,467000,469900,479000,459900,459945,459500,450000,459450,455000,459000,469499.5,485000,495000,475303,469000,465000,470294,473407,475000,499950,492000,484950,484000,489500,490187,495700,470000,481638.5,505000,515000,539900,539450,549900,529000,536520.5,539450,549999,549900,559500,560000,559000,550000,555000,557450,557450,555000,559000,554950,550000,550000
"Reseda","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",53,289000,280000,270000,280000,294999,294999.5,3e+05,295000,299000,289000,280000,277000,270800,274900,279000,279000,280000,275000,270750,278975,269950,275000,274750,269900,264900,260000,272100,269500,267000,267000,283000,281500,285000,307500,315000,299500,3e+05,309875,314900,359925,359900,384900,388000,385975,380000,377000,375000,389990,392500,399000,399000,407000,402500,399999,405999,402500,399450,399999.5,418349.5,4e+05,399974.5,409250,404250,425000,425000,425000,424499.5,424500,432450,429950,434975,439450,429900,439900,447500,449000,450000,450000,469000,459900,459950,452225,465500,454500,465500,459000,475000,484950.5,499000,499999,499925,499974.5,495000,512500,510000,512500,499975,510000,517000,537000,535000,539949.5,549950,549000,550000,540000,549000
"Central Southwest","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",54,94900,95000,94900,95000,89900,89950,89900,90000,94250,94250,99000,97000,99000,106000,105250,99000,95900,99900,99700,105950,99945,99900,94554,97950,99638.5,95000,91500,89950,90000,95000,93500,95000,96245,90000,95000,95750,99900,104900,104900,111390,111390,111390,105000,94000,94750,107200,105000,105250,114000,125233.5,119245,128450,124467,119650,117250,108000,102500,100500,111400,100999.5,105499.5,109450,119999,115000,119900,126000,130600,130600,135000,139990,138200,140000,139900,135995,138000,145500,142950,139950,139900,140000,139900,150000,145900,144949.5,139900,152900,152950,141500,149945,155000,157500,159900,160999.5,164900,169950,159900,159999.5,169945,172000,169000,159000,164950,165000,169900,168000,169900,177000
"West Rogers Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269450,258400,264900,271950,283950,289900,305000,3e+05,299900,295000,304450,289950,294500,304000,309000,299000,304450,269450,284250,284000,265000,265000,275000,292000,282250,269900,298938.5,301950,304000,299000,297000,299000,295000,319900,299900,299900,322950,354900,359900,348500,339000,320000,339000,319900,319000,319000,320000,309500,319500,298500,267400,285000,275000,287250,293999.5,289749.5,289250,289000
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519000,439450,424900,469000,509500,519000,579000,554450,489444,499000,499000,549000,482000,539949.5,549999,549000,560293,587000,569000
