"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Briarforest Area","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889489490128186,0.932937181663837,0.813616071428571,0.792349726775956,0.795454545454545,0.813616071428571,0.813616071428571,0.895215633423181,0.910596026490066,0.895215633423181,0.87574326075233,0.881470374185655,0.851764588516971,0.859839978822069,0.870429252782194,0.867712996389892,0.876280692457163,0.870429252782194,0.912173913043478,0.891741071428571,0.915857071464268,0.894657597708895,0.948275862068966,0.953304597701149,0.948275862068966,1.02779922779923,1.13168262819736,1.11842105263158,1.00574712643678,1.00453172205438,0.993949870354365,1.01461038961039,0.861928104575163,0.874103515279986,0.862068965517241,0.886977300468559,0.897574123989218,0.961375893268359,0.926850458054745,0.950734658599827,0.981308411214953,1.06106194690265,1.09221128021486,1.01826038714613,1.01283839400037,1.04927782497876,0.995833333333333,0.984202898550725,0.934615384615385,1.04126679462572,1.029263370333,1.01707579803374,1.11744084136722,1.09668755595345,1.10205908683975,1.10082699417637,1.09463276836158,1.08168283481541,1.05955061795176,0.991584192918874,0.984829276538202
"Rancho Bernardo","San Diego","CA","San Diego-Carlsbad","San Diego County",124,,,,,,,,,,1.35593220338983,1.47584973166369,1.43799972429005,1.44218398465138,1.42857142857143,1.43181818181818,1.43283596025995,1.41242937853107,1.38600708502024,1.39902569980695,1.39604810996564,1.41593420133897,1.43741378593264,1.44787644787645,1.43209663644725,1.39826552398807,1.40097882480695,1.44297905352987,1.50462962962963,1.49619492410903,1.45328389830508,1.44358949046449,1.43798851115924,1.45098039215686,1.50510204081633,1.54198841698842,1.50204277817832,1.39506555634302,1.48361823361823,1.49038461538462,1.44305019305019,1.44549051356045,1.50096525096525,1.52259217980867,1.52967387182404,1.34615384615385,1.54498465514456,1.52814360971141,1.53688524590164,1.54525386313466,1.50945545682388,1.48594229717795,1.46559771761898,1.41297366730893,1.43201366832389,1.56418917049799,1.60695468914647,1.62303664921466,1.59800801715269,1.6487043049543,1.65770609318996,1.64594001463058,1.60726764500349,1.60695468914647,1.69335081350007,1.68202764976959,1.66228070175439,1.63143317830818,1.66960352422907,1.65490758222036,1.74467283842284,1.66960352422907,1.66960352422907,1.67015706806283,1.62574651625747,1.69354838709677,1.66960352422907,1.66066383108005,1.71021303258145,1.72549019607843,1.71296296296296,1.76534391534392,1.82692307692308,1.83711906844335,1.83951141294095,1.81826090903589,1.82593293434255,1.77142857142857,1.83194094890086,1.88466128665606,1.92989300467772,1.92567567567568,1.89234650967199,1.97876447876448,1.97876447876448,1.92567567567568,1.97368421052632,1.92652329749104,1.88674696682797
"Kew Gardens Hills","New York","NY","New York-Newark-Jersey City","Queens County",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29261363636364,2.25098039215686,2.33823529411765,2.35294117647059,2.26666666666667,2.26666666666667,2.2859477124183,2.29513888888889,2.27222222222222,2.3125,2.29705882352941,2.35294117647059,2.42424242424242,2.35294117647059,2.35294117647059,2.35294117647059,2.42424242424242,2.375,2.35294117647059,2.30555555555556,2.31578947368421,2.31578947368421
"Portage Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.295,1.295,1.30625,1.3,1.28888888888889,1.25997340425532,1.2975,1.3,1.28209706959707,1.35294117647059,1.3,1.33074534161491,1.55555555555556,1.48333333333333,1.47727272727273,1.3125,1.33333333333333,1.4
"Oak Forest - Garden Oaks","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46870702852332,1.33763837638376,1.48916967509025,1.47563176895307,1.32039711191336,1.41173464647403,1.26412095196247,1.33838383838384,1.39152435167615,1.26617718230215,1.31079717457114,1.1991199119912,1.38011049723757,1.38118966234614,1.35744190020506,1.47563176895307,1.47563176895307,1.3528880866426,1.47563176895307,1.44005745503327,1.47563176895307
"Rego Park","New York","NY","New York-Newark-Jersey City","Queens County",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3486176886152,2.4125,2.33760386119257,2.31804586241276,2.27272727272727,2.2,2.23953261927945,2.19224283305228,2.30883659887566,2.26025390625,2.13385063045587,2.30257575757576,2.30454545454545,2.30454545454545,2.41363211951447,2.36656596173213,2.31481481481481,2.28365384615385,2.1969696969697,2.34090909090909,2.28586363636364,2.27053140096618,2.26382835820896,2.2582304526749,2.45098039215686,2.47432306255836,2.38327904451683,2.29591836734694
"Mar Vista","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56963324514187,2.68678571428571,2.91501976284585,2.7657842729353,2.87131439946391,2.94466403162055,2.97012947434524,2.83333333333333,2.9397233201581,2.86561264822134,2.83843873517787,2.72272727272727,3.12151616499443,2.82935253152644,2.97468991623711,3.06818181818182,3.10244786944696,3.11825702629193,3.16623150565709,3.04264577893821,2.92112950340798
"Gulfton","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00660611065235,1.07098765432099,0.992788461538462,0.825971086072954,0.78,0.804761904761905,0.803720238095238,0.803720238095238,0.852400530503979,0.87171357615894,0.860927152317881,0.910344827586207,0.910612828300875,0.902105263157895,0.9,0.87996357615894,0.83546357615894
"Coral Way","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",131,,,1.69029443838604,1.67022509337214,1.64356476856477,1.56952434972855,1.55853658536585,1.65853658536585,1.65451101112953,1.70399221032132,1.71034804335586,1.70399221032132,1.66666666666667,1.63246268656716,1.65562913907285,1.71486923948902,1.67059748427673,1.68735891647856,1.72574626865672,1.72833495618306,1.710330761447,1.72704061241989,1.7587841131547,1.75427663734115,1.69082125603865,1.68738898756661,1.71428571428571,1.71428571428571,1.69014084507042,1.69671261930011,1.76887259315451,1.80823670325218,1.81704917194848,1.7686170212766,1.75450747581354,1.82815075573436,1.85185185185185,1.86440677966102,1.89188020887367,1.91666666666667,1.91666666666667,1.86335403726708,1.86335403726708,1.86503921072603,1.82259345491003,1.84873949579832,1.85370741482966,1.83333333333333,1.84602873407427,1.81818181818182,1.8850069284722,1.90891440688494,1.88834154351396,1.90802348336595,1.99115044247788,1.92384896500213,1.92384896500213,2.00873217457709,2.02764976958525,2.03711544962813,2.06306561085973,2.15959770658126,2.33333333333333,2.34229799001661,2.1011396011396,2.14785651793526,2.13343181336267,2.15223097112861,2.12830166821131,2.18032786885246,2.08461145194274,2.10772378579107,2.16152019002375,1.98680651956923,2.05996156310058,1.986328125,2.00635350868659,2.0066889632107,1.99619771863118,2.05091937765205,2.07197382769902,2.18102508178844,2.16930618401207,2.10084033613445,2.07197382769902,2.07715133531157,2.07715133531157,2.05216802168022,2.0625,2.06703910614525,2.0776874435411,2.12121212121212,2.09125475285171,2.13139400086944,2.10084033613445,2.10915161988914,2.10631895687061,2.1372717117398
"North","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",132,,,,,,,,,,,,0.755898702393702,0.799096736596737,0.797539502842278,0.784439860353221,0.743664717348928,0.741510644068399,0.796793488419514,0.791007493755204,0.767991407089151,0.794845360824742,0.784439860353221,0.810812708699423,0.818639798488665,0.819804567889239,0.800214822771214,0.79484425349087,0.784872298624754,0.802144249512671,0.849256900212314,0.834443387250238,0.845516060559862,0.864932707945412,0.873170731707317,0.825545171339564,0.838647355467204,0.89181645335566,0.951733909938244,0.946218487394958,0.889008620689655,0.875,0.883333333333333,0.894347168179853,0.883720930232558,0.88449152347434,0.885262116716123,0.883720930232558,0.886813313088759,0.880530973451327,0.86832298136646,0.867050834945525,0.882658359293873,0.892078977023195,0.919337401499135,0.991507936507936,0.943298969072165,0.936937616954351,0.934562211981567,0.937141170576359,0.956030454398969,0.976403580146461,0.955760368663594,0.976105737883069,0.984595569546006,0.963401506996771,0.982455741940693,0.960539979231568,0.988814704912628,0.938601694915254,0.957467853610287,0.939663699307616,0.956295525494277,0.956295525494277,0.973941031977908,0.987708516242318,1.00098911968348,1.03702587592414,1.04186952288218,1.06782768102658,1.08571428571429,1.10733515337656,1.1318795430945,1.16959064327485,1.16831683168317,1.18615984405458,1.23068432671082,1.19306930693069,1.16999486566013,1.22378245153404,1.18858138724294,1.18001978239367,1.16541353383459,1.19469026548673,1.19508949364562,1.17954582992854,1.23057644110276,1.22677364864865,1.25147579693034
"Bay Area","Corpus Christi","TX","Corpus Christi","Nueces County",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964398734177215,1.06687898089172,1.16840417000802,1.16924955335844,1.07657657657658,0.990598290598291,1.13053797468354,1.18987341772152,1.16924955335844,1.13449023861171,1.19047619047619,1.23966244725738,1.26080459444318,1.24752475247525,1.2489224137931,1.25789473684211,1.22280701754386,1.11515151515152,1.20575076385858,1.18819695599759
"Greater Heights","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50623107422316,1.52318410613687,1.57228410103137,1.56261343012704,1.50556030795552,1.60533578656854,1.58280630427145,1.59015025041736,1.55188316679477,1.56518010291595,1.57688808007279,1.57722581041326,1.45755693581781,1.45755693581781,1.45755693581781,1.45755693581781,1.45755693581781,1.6358024691358,1.62882096069869,1.63832352382761,1.6,1.59574468085106,1.51821862348178,1.54176295807197,1.5941356819552,1.61135371179039,1.61538461538462,1.65519877675841,1.76584365185076,1.70454545454545,1.67248908296943,1.76860254083485,1.68558951965065,1.6616739452124,1.63217213114754,1.57920792079208,1.66666666666667,1.5961887477314,1.62402718002981,1.69204737732657,1.67251200677752,1.6516948998482,1.66512488436633,1.60555555555556,1.70558533992698,1.57168784029038,1.60409356725146,1.57168784029038,1.56521739130435,1.76817288801572,1.65143369175627,1.58577405857741,1.52143147804856,1.58927971591727,1.59825327510917,1.6,1.64847161572052,1.6802906448683,1.66359163591636,1.66744114002478,1.66592460670822,1.65360641139804,1.6848714953271,1.61572052401747,1.70566181669334,1.70899014778325,1.65581395348837,1.63837209302326,1.6518756873351,1.65031222123104,1.65938864628821
"Mid Wilshire","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68505516549649,2.64040404040404,2.74555659494855,2.78223852040816,2.69230769230769,2.65961948345035,2.42307692307692,2.57197552583135,2.83465595609789,2.81865079365079,2.79079824020327,2.69809428284855,2.71639042357274,2.73662551440329,2.84776422764228,2.92076228686058,2.85347232172709,2.85082872928177,2.82239819004525,2.75391020736498,2.83383292154212,2.91801436515292,2.82089552238806,2.82010582010582
"South Loop","Chicago","IL","Chicago-Naperville-Elgin","Cook County",136,,,,1.78419839922387,1.84210526315789,1.86821015138023,1.85456064510766,1.89937666963491,1.9459234608985,1.91659983961508,1.95134665508254,1.94265855777585,1.95416938680306,1.98695652173913,1.99514563106796,2,2.03478260869565,2.01703845353731,2.04050736497545,2.08206631914277,2.11048387096774,2.13930348258706,2.14833333333333,2.19072145498453,2.19407265774379,2.10683175296492,2.09410351622298,2.08594262295082,2.06965944272446,2.08122599826568,2.11264822134387,2.14843769844006,2.22280311195981,2.2,2.21200387221684,2.20302760463045,2.14416666666667,2.12477167518781,2.08220720720721,2.13235294117647,2.11899791231733,2.10709753231492,2.09858269744563,2.0976253298153,2.09008235396803,2.11899791231733,2.09141791044776,2.17273576097105,2.10933333333333,2.06747162137179,2.18102508178844,2.22083333333333,2.1930447125621,2.17850098619329,2.18199802176063,2.13153797525745,2.12171837708831,2.15557337610265,2.16659663673648,2.27215460491501,2.31037388098999,2.30605328507443,2.27087331960336,2.2493321460374,2.26614620298084,2.27443232612194,2.25489921612542,2.22319093286835,2.26555173396905,2.24239791485665,2.26787486360496,2.30715647683593,2.26960352422907,2.24239791485665,2.22632999497649,2.39035972432342,2.22796081923419,2.22270657754529,2.272040302267,2.30814295257181,2.31214698686329,2.40521739130435,2.37642585551331,2.3392425463336,2.39615076182839,2.29472162092332,2.32985386221294,2.37127371273713,2.33157338965153,2.39462636439966,2.41910229645094,2.42434782608696,2.41826086956522,2.39562624254473,2.48508946322068,2.5028704647637,2.43362831858407,2.37314814814815
