"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Nonantum","Newton","MA","Boston-Cambridge-Newton","Middlesex County",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2175,2250,2290,2200,2200,1975,1900,2000,2100,2100,2185,2000,2000,2300,2150,2095,2100,2200,2200,2300,2300,2400,2250,2262.5,2500,2400,2400,2400,2400,2400,2300,2500,2400,2474.5,2200,2450,2325,2350,2100,2200,2300,2299,2100,2250,2400,2499,2400,2500,2500,2500,2500,2500,2300,2300,2300,2300,2150,2300,2500,2500,2500,2400,2400,2300
"Wrightwood Neighbors","Chicago","IL","Chicago-Naperville-Elgin","Cook County",243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2100,2000,2275,2500,2597.5,2450,2199,2000,1995,2197.5,2200,2397.5,2350,2400,2395,2385,2250,2075,2250,2250
"Murray Hill","New York","NY","New York-Newark-Jersey City","New York County",244,,,,,,,,,,,,,2774.5,2900,2818,2900,2900,2900,2875,2925,2900,3000,2995,3000,3000,3000,3000,3000,3100,3074.5,3000,3100,3100,3150,3200,3100,3100,3000,3025,3145,3195,3195,3195,3200,3160,3200,3150,3225,3300,3400,3350,3325,3400,3450,3400,3500,3550,3573.5,3695,3600,3425,3300,3300,3250,3300,3200,3297.5,3372.5,3450,3300,3350,3397.5,3325,3300,3300,3297.5,3200,3400,3450,3400,3400,3500,3495,3495,3500,3495,3400,3350,3300,3450,3450,3300,3400,3450,3495,3450,3500
"Oceanfront","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2850,2825,2850,2825,2750,2850,2850,2850,2850,3250,2900,2800,2800,2800,2600,2600
"East Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",246,,,,,,,,,,,,,,,,3040,2954,2890,2842.5,2725,2900,2890,2809,2875,3023,2907,2984,2886.5,2900,3000,2919.5,2900,2904,2883,2883,2929,3100,2954,3000,2800,2995,3000,3000,3000,2900,2600,2787.5,2355,2265,2525,2511,2600,2700,2900,2500,2425,2500,2600,2500,2500,2775,2800,2800,2800,2800,2900,2800,2826,2750,2600,2600,2650,2600,2745,2794,2700,3000,2997.5,2982.5,3085,3100,2977,2732,2750,2800,2712.5,2605,2680,2680,2750,2850,2900,3000,2949,2700,2963,2995
"Ballard","Seattle","WA","Seattle-Tacoma-Bellevue","King County",247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1475,1495,1600,1797.5,1695,1795,1680,1695,1695,1895,1850,1795,1672.5,1572.5,1695
"East Rock","New Haven","CT","New Haven-Milford","New Haven County",248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1550,1650,1495,1400,1450,1500,1475,1500,1550,1550,1637.5,1650,1675,1625,1600,1600,1587.5,1550,1525
"Beacon Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",249,,,,,,,,,,,,,,,,2275,2175,1825,1800,1825,1850,2000,2055,2200,2200,2200,2200,2500,2500,2400,2400,2275,2300,2500,2600,2697.5,2700,2700,2625,2550,2550,2500,2600,2600,2575,2575,2500,2500,2400,2400,2400,2425,2600,2600,2500,2300,2300,2400,2400,2450,2400,2400,2400,2500,2572.5,2600,2500,2600,2600,2600,2650,2400,2450,2600,2200,2450,2700,2600,2624,2700,2694,2400,2625,2500,2500,2500,2550,2795,2725,2750,2750,2750,2750,2750,2700,2750,2700
"Upper Eastside","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1700,1700,1725,1650,1800,1900,1650,1850,1750,1850,1862.5,1825,1825,1850,1850,2000,2200,2125,2000,1875,1925,2042.5,2150
"West Cambridge","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2725,2900,2950,3195,3050,3000,2925,2850,2600,2550,2500,2500,2462.5,2500,2675,2850,3000,3000,3300,3300,3000,3000
