"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,995,995,995,1049,1075,1049,995,1050,1050,1050,950,995,1070
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,2635,2685,2750,2800,2800,3000,2925,3095,3095,3050,3100,3000,3095,3000,3075,3095,3132.5,3050,3200,3237,3300,3300,3100,3095,3000,3147.5,3100,3199,3212.5,3200,3200,3299,3395,3295,3300,3299,3295,3300,3300,3300,3300,3300,3300,3300,3295,3300,3250,3250,3300,3300,3325,3200,3250,3295,3300,3350,3350,3325,3295,3295,3295,3295,3300,3250,3286,3225.5,3175,3250,3350,3295,3150,3195,3200,3153.5,3153.5,3195,3200,3250,3300,3300,3300,3230,3250,3259,3210,3179,3150,3232,3250,3226,3200,3295,3250
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,1987.5,1795,1900,1872.5,2000,2197.5,2000,1995,2000,2072.5,2150,1895,1850,1840,1900
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,2350,2300,2300,2450,2497,2500,2450,2495,2495,2500,2550,2595,2600,2595,2595,2600,2595,2595,2612.5,2650,2600,2650,2695,2700,2750,2750,2700,2700,2750,2725,2750,2725,2700,2700,2750,2800,2750,2700,2695,2700,2750,2795,2795,2800,2725,2700,2700,2700,2725,2750,2700,2795,2800,2800,2695,2750,2750,2800,2830,2799,2750,2700,2725,2750,2800,2795,2750,2697,2699,2700,2700,2700,2700,2695,2700,2750,2750,2750,2750,2750,2765,2795,2800,2775,2791,2750,2747.5,2700,2700,2675,2700,2750,2750,2750,2750,2799
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",5,,,,,,,,1600,1600,1500,1483,1470,1450,1477,1500,1500,1500,1500,1600,1600,1592.5,1585,1600,1600,1600,1600,1550,1562.5,1600,1550,1550,1600,1600,1600,1535,1500,1500,1545,1550,1500,1546.5,1550,1550,1600,1600,1600,1600,1675,1675,1650,1700,1750,1750,1799,1749,1800,1800,1900,1850,1700,1695,1800,1800,1850,1900,1900,1900,1800,1800,1850,1875,1999,1800,1900,2000,1895,2000,2000,2050,2099.5,2099,2000,2000,1950,1900,1900,2000,2100,2108,2199,2150,2150,2150,2200,2200,2125,2175
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,1475,1450,1450,1472,1500,1575,1475,1550,1525,1525,1550,1525,1500,1480,1650,1650,1700,1650,1625,1595,1674,1648,1650,1650,1650,1694.5,1670,1695,1700,1750,1700,1700,1700,1700,1700,1700,1750,1799,1800,1800,1850,1895,1900,1850,1897.5,1900,1900,1925,1900,1925,1950,1950,1995,1995,1950,1950,1950,1900,1950,1995,1995,1995,1900,1925,2000,1937.5,1900,1985,1900,2100,2000,2000,2047,2100,2100,2186,2100,2000,2000,1995,1995,2000,2000,2010,2050,2095,2100,2100,2150,2150,2100
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",7,,,,,,1600,1600,1625,1700,1800,1867.5,1800,1800,1910,1800,1825,1800,1895,1805,1900,1977.5,2100,2150,2250,2240,2056,2000,1950,1950,1999,1950,2097,2095,2150,2125,2175,2200,2136,2100,2150,2160,2160,2200,2300,2260,2300,2400,2375,2395,2300,2300,2295,2299,2250,2295,2300,2300,2300,2350,2340,2300,2350,2300,2300,2295,2300,2300,2300,2300,2350,2400,2400,2350,2400,2200,2250,2200,2200,2200,2200,2300,2300,2350,2275,2200,2200,2200,2198,2200,2200,2200,2200,2200,2250,2295,2299,2200
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,1500,1500,1500,1500,1495,1500,1597.5,1650,1600,1600,1500,1600,1650,1650,1700,1700,1700,1700,1795,1875,1800,1800,1800,1750,1750,1799.5,1799,1800,1850,1990,2000,2200,2200,2199,2150,2199,2150,2100,2150,2150,2150,2200,2250,2300,2300,2200,2295,2300,2250,2291,2300,2395,2499,2500,2450,2475,2450,2450,2475,2400,2450,2400,2399,2400,2400,2450,2499,2500,2495,2475,2500,2323,2400,2350,2300,2395,2400,2446,2430,2499,2475,2474.5,2400,2350,2350,2300,2389,2448,2500,2516,2590,2575,2500,2499
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,2977,2900,3080,2900,2994.5,2925,2900,2990,3000,3000,3100,3100,3025,3000,3000,3046,3000,2950,2950,2995,3000,3157,3198,3156,3150,3136,3100,3029,3000,2950,2930,2935,3000,3300,3300,3200,3250,3220,3100,3250,3300,3250,3250,3040.5,3150,3099,3095,3000,3000,3100,3250,3275.5,3400,3195,2995,3000,3025,3095,3098,3100,3100,3062,3000,2950,2899,2900,2950,2900,2999,3000,3000,3000,3000,2995,2975
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5,1549,1497.5,1525,1550,1495,1450,1450,1395,1495,1495,1495,1495,1450,1437.5,1495,1695,1519.5,1561,1495,1650,1815,1695,1572.5,1550,1450,1450,1662.5,1700,1695,1600,1650,1650,1600,1695,1750,1872.5,1950,2050,1724.5,1850,1650,1695,1650,1724.5,1650,1750,1750,1795,1800,1750,1700,1695,1700,1750,1895,1895,1795,1725,1825,1800,1815,1945,1850,1795,1845,1825,1850
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,950,875,895,850,895,950,975,999,1000,1012.5,985,907.5,995,995,1000,999,1000,1000,1025,1037.5,1000
"East Side","El Paso","TX","El Paso","El Paso County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,825,825,837.5,795,800,845,850,850,849.5,804,850,875,875,850,900,895,901,925,920,850
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,,,,1437.5,1450,1425,1450,1297.5,1300,1400,1300,1400,1400,1450,1375,1412.5,1400,1533.5,1550,1500,1500,1500,1650,1700,1700,1750,1700,1600,1600,1650,1650,1650,1650,1675,1750,1750,1750,1750,1750,1800,1800,1800,1795,1799,1800,1850,1950,1875,1850,1900,1900,1950,1900,1900,1950,1900,1900,1937.5,1950,1975,1950,1950,2050,1925,1999,1850,1900,1925,1950,1950,1975,2000,2000,1999,1975,1999.5,1950,1950,1999,2000,1975,1999,2000,2077,2145,2200,2075,2008
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,700,725,747.5,777.5,787.5,789.5,810,775,825,850,825,797.5,842.5,797.5,835,850,900,897.5,900,900,920
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",15,,,,,,,1450,1562.5,1600,1512.5,1525,1500,1575,1650,1700,1650,1700,1700,1788.5,1838.5,1800,1900,1948.5,2000,1900,1899,1874.5,1800,1899,1911,1999,2000,2100,2100,2100,2200,2150,2100,2100,2100,2057,2100,2100,2350,2400,2299,2200,2200,2295,2300,2300,2300,2300,2300,2400,2500,2495,2400,2450,2400,2450,2399,2400,2400,2400,2400,2400,2400,2435,2400,2300,2400,2450,2475,2250,2288.5,2297,2250,2295,2300,2399,2450,2495,2495,2429,2400,2399,2350,2350,2400,2400,2414,2499,2600,2600,2550,2399
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",16,,,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1550,1550,1600,1600,1600,1500,1500,1474.5,1500,1499,1525,1500,1500,1550,1550,1450,1450,1500,1525,1497,1500,1518.5,1548,1518.5,1517,1550,1575,1502,1600,1595,1650,1650,1700,1695,1650,1650,1650,1700,1700,1685,1662.5,1675,1725,1797.5,1800,1800,1700,1795,1795,1825,1897.5,1799.5,1700,1800,1797.5,1595,1750,1895,1750,1800,1795,1875,1975,2010,2067.5,2100,1925,1895,1895,1828,1950,1950,1950,2000,1950,1975,2066,2062.5,2170,2185,2150
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",17,,,,,,,,,,,1695,1712.5,1750,1600,1650,1695,1812.5,1797,1795,1750,1850,1895,1895,1800,1800,1800,1800,1800,1750,1795,1850,1850,1900,1882,1895,1900,1879,1900,1899,1900,1850,1850,1900,1949.5,1949,2150,2172,2100,2235,2150,2150,2200,2200,2250,2200,2199,2200,2200,2225,2178,2250,2200,2250,2200,2200,2250,2300,2255,2200,2200,2350,2200,2200,2250,2075,2350,2337,2300,2344.5,2350,2350,2400,2450,2350,2299,2200,2200,2200,2293,2300,2400,2350,2400,2450,2500,2400,2350
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",18,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1200,1300,1297.5,1300,1275,1300,1275,1250,1294,1200,1212.5,1225,1200,1199,1199,1200,1200,1200,1200,1200,1250,1250,1292.5,1259.5,1285,1292.5,1300,1308.5,1300,1300,1300,1350,1350,1350,1375,1400,1400,1425,1450,1450,1450,1450,1450,1400,1450,1425,1397.5,1400,1397.5,1400,1400,1400,1450,1450,1500,1500,1500,1550,1500,1500,1550,1500,1550,1625,1625,1650,1775,1850,1836,1800,1700,1700
"East Harlem","New York","NY","New York-Newark-Jersey City","New York County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2650,2595,2500,2600,2602,2500,2500,2500,2500,2648.5,2695,2650,2675,2650,2651.5,2750,2800,2800,2800,2699,2625,2600,2650,2650,2650,2612,2650,2600,2597,2550,2600,2563.5,2595,2600,2650,2699,2699,2650,2600,2600,2595
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings County",20,,,,,,,,,,,1600,1600,1650,1700,1699,1599,1700,1650,1699.5,1725,1900,1974.5,2000,1800,1750,1800,1900,1950,1900,1995,2199.5,2200,2200,2250,2450,2500,2500,2450,2400,2300,2300,2300,2300,2325,2350,2355,2399,2400,2400,2399.5,2395,2400,2450,2500,2500,2500,2500,2500,2575,2600,2600,2599,2550,2600,2613,2533,2550,2547.5,2600,2647.5,2600,2699,2599,2650,2492,2475,2450,2473,2500,2550,2599,2649.5,2672,2599,2500,2499,2475,2450,2498.5,2500,2550,2649,2699,2700,2680,2600,2550
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1490,1450,1450,1500,1475,1450,1500,1650,1700,1675,1679,1700,1650,1600,1612.5,1695,1700,1800,1775,1700,1685,1600,1740,1700,1800,1800,1850,1795,1800,1800,1850,1900,1900,1850,1850,1900,1900,1849.5,1850,1900,1900,1850,1950,1850,1850,1850,2000,2000,1937.5,1874.5
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,595,600,525,525,500,550,550,550,550,550,525,500,537.5,550,575,575,575
"Sunset Park","New York","NY","New York-Newark-Jersey City","Kings County",23,,,,,,,,,,,,,,,,,,,,,1487.5,1600,1675,1700,1490,1475,1575,1625,1525,1487.5,1600,1650,1700,1650,1650,1700,1700,1700,1650,1600,1600,1600,1700,1757.5,1800,1800,1800,1800,1800,1800,1800,1750,1750,1750,1800,1850,1800,1800,1850,1850,1837.5,1850,1900,1950,2000,2000,2000,1900,2000,2000,1997,2000,1995,2075,1800,1900,1950,1950,1995,2000,2000,2040,2095,2000,2000,1996.5,1999,1999,2000,1900,1950,2150,2195,2100,2000,1999.5,1995
"Concourse","New York","NY","New York-Newark-Jersey City","Bronx County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1295,1375,1375,1350,1350,1350,1350,1300,1300,1325,1350,1572.5,1650,1500,1485,1482.5,1490,1450,1450,1450,1497.5,1400,1400,1450,1550,1625,1595,1485,1575,1525,1525,1498,1495,1600,1595,1550,1550,1575,1600,1675,1695,1650,1600,1600,1595,1595,1750,1797.5,1700,1795,1750,1700,1750
"Borough Park","New York","NY","New York-Newark-Jersey City","Kings County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2078,2077,2077,1850,1850,1750,1899,1999,1999,1900,1899,1900,1895,1890,1850,1900,1925,1899.5,1900,1750,1900
"Bensonhurst","New York","NY","New York-Newark-Jersey City","Kings County",26,,,,,,,,,,,,,,,,,,,,,,,1284.5,1300,1400,1362.5,1400,1387.5,1350,1350,1350,1350,1350,1375,1395,1400,1400,1400,1400,1400,1437.5,1450,1450,1450,1425,1415,1450,1450,1450,1450,1500,1500,1500,1500,1595,1600,1525,1525,1600,1700,1700,1600,1650,1650,1662.5,1735,1735,1750,1750,1600,1750,1700,1750,1800,1747.5,1750,1700,1690,1700,1700,1745,1727.5,1725,1745,1725,1750,1792,1725,1800,1750,1750,1800,1800,1750,1800,1950,1900
"West San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,2250,2095,2095,2395,2200,2195,2100,2250,2272.5,2450,2475,2472.5,2442,2500,2472.5,2500,2550
"Elmhurst","New York","NY","New York-Newark-Jersey City","Queens County",28,,,,,,,,,,,,,,,,,,,,,,,,1462.5,1400,1450,1550,1585,1550,1495,1550,1550,1550,1550,1587.5,1600,1625,1615,1575,1615,1615,1615,1600,1615,1690,1697.5,1735,1750,1750,1750,1700,1700,1750,1750,1750,1750,1750,1750,1800,1800,1800,1850,1850,1850,1850,1800,1850,1700,1762.5,1890,1800,2040,1900,1900,1700,1700,1965,1850,1900,1950,1849.5,1900,1862.5,1850,1762.5,1896,1925,1950,1900,1935,1900,1879,1750,1900,1987.5,1900,1800
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1250,1375,1299,1412.5,1372.5,1425,1350,1475,1495,1550,1495,1597.5,1537.5,1450,1575,1595,1510,1495,1495,1395,1600,1600,1625,1575,1610,1610,1650,1722.5
"Westlake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,1375,1495,1495,1500,1350,1350,1350,1542.5,1500,1407.5,1350,1400,1400,1375
"North Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,1495,1422.5,1462.5,1497.5,1460,1495,1525,1525,1550,1600,1450
"Sheepshead Bay","New York","NY","New York-Newark-Jersey City","Kings County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2302.5,2399,2250,1950,1775,1997.5,1925,1999,1996,2000,2000,1900,1950,2000,2000,2000
"Soundview","New York","NY","New York-Newark-Jersey City","Bronx County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1475,1523.5,1462.5,1400,1600,1650,1650,1650,1650,1650,1650,1650,1707,1650,1650,1700,1650,1650,1700,1700,1772.5,1795,1700,1775,1700,1700
"Canarsie","New York","NY","New York-Newark-Jersey City","Kings County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1645,1600,1650,1525,1625,1600,1600,1672.5,1600,1600,1612.5,1600,1600,1600,1600,1600,1725,1625,1550,1600,1672.5,1700,1700,1700,1725,1722.5,1722.5,1722.5,1800,1800,1837.5,1800,1825,1850,1837.5,1800,1762.5,1800,1772.5,1747.5,1800,1799,1650,1800,1750,1800,1875,1800,1800,1800,1800,1925,1925,1965,2000,1974.5,1950,1825,1887.5,1800,1850,1900,2000,2000,2100,2100,2000,2000,2100,2100
"Downtown","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.5,1695,1695,1790,1795,1895,1995,1995,1897.5,1847.5,1795,1712.5,1850,1895,1875,1900,1950,2095,1995,1995,2099.5,2065
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1899,1895,1900,2000,2175,2319,2400,2595,2295,2150,2047.5,2350,2319,2316.5,2395,2500,2500,2500,2372.5,2397.5,2400,2499.5,2500,2500,2437.5,2499,2250,2350,2150,2369,2365.5,2395,2495,2647.5,2400,2595
"Logan Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",37,,,,,,,,,,,,,,,,,,,,,,975,1100,1250,1250,1197.5,1225,1250,1200,1250,1250,1195,1195,1195,1150,1195,1195,1200,1200,1224.5,1250,1250,1295,1199.5,1250,1250,1250,1195,1150,1195,1195,1250,1295,1195,1325,1350,1350,1350,1350,1362.5,1350,1350,1325,1295,1295,1300,1300,1250,1325,1350,1295,1350,1295,1300,1495,1375,1350,1495,1550,1550,1550,1500,1500,1450,1495,1600,1550,1550,1500,1550,1600,1650,1650,1650,1585,1500,1550
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York County",38,,,,,,2400,2300,2397.5,2400,2549.5,2625,2537.5,2650,2650,2600,2500,2650,2662.5,2750,2700,2675,2655,2672.5,2700,2800,2900,2700,2700,2700,2795,2850,2895,2995,2975,2995,2995,3050,2995,2900,2895,2800,2895,2900,2800,3000,2950,3075,3075,3000,3100,3150,2997.5,3000,3000,3000,3000,3150,3100,3199,3297.5,3100,3096.5,3000,3100,3150,3099,3000,3116,3375,3200,3200,3254,2995,3000,2997,2912.5,3200,3050,3000,3200,3200,3200,3199,3100,3000,2950,2895,2875,2899,3000,3100,3195,3163,3200,3250,3250,3295
"Flushing","New York","NY","New York-Newark-Jersey City","Queens County",39,,,,,,,,,,,,,,,,,,,,,,,,,1475,1517.5,1550,1550,1550,1550,1550,1550,1550,1550,1625,1600,1600,1612,1600,1600,1600,1600,1600,1650,1600,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1700,1700,1750,1750,1750,1750,1750,1750,1950,1975,1925,2199.5,2000,1900,2000,1850,2000,1962.5,1950,1900,1900,1850,2000,2150,2125,2250,2250,2150,2100,2100,2100,2099.5,2100,1900,2000,2150,2100,2125,2100,2100,1950
"South Ozone Park","New York","NY","New York-Newark-Jersey City","Queens County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1900,1900,1900,2000,1862,1900,2000,1900,1847.5,1800,1850,1975,1975,1900,2000
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1650,1695,1772.5,1795,1712.5,1700,1572.5,1795,1672.5,1820,1845,1875,1750,1825,1650,1722.5,1795,1795,1700,1725,1795,1750,1795
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1575,1600,1535,1435,1495,1525,1512.5,1550,1572.5,1500,1454.5,1450,1550,1550,1595,1700,1675,1650,1672.5,1622.5,1595
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1725,1995,1995,1972.5,1950,1950,1995,2085,1950,1950,1972.5,1995,1972.5,1950,1899,1850,1912,2095,2149,2095,2047,2095
"Murray Hill","New York","NY","New York-Newark-Jersey City","Queens County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1780,1650,1587.5,1625,1600,1650,1700,1600,1575,1550,1650,1650,1650,1650,1650,1725,1792.5,1700,1700,1650,1650,1675,1675,1675,1700,1700,1787.5,1725,1750,1750,1782.5,1800,1825,1800,1750,1787.5,1875,1812.5,1800,1900,1950,1912.5,1862.5,1850,2100,2250,2150,2100,2100,1900,1925,1897.5,1850,1900,1945,1950,1925,1925,1900,2000,2114,2050,2000,1895,1895,2000,2090,2120,2095
"Forest Hills","New York","NY","New York-Newark-Jersey City","Queens County",45,,,,,,,,,,,,,1687.5,1800,1775,1875,1900,1950,1950,1950,1895,1900,1900,1875,1837.5,1850,1925,1875,1895,1850,1875,1850,1900,1950,1968,1959,1900,1900,1950,1950,1950,1950,1950,2000,1950,1996,1950,2000,1995,1950,1975,2000,2000,2000,2015,2100,2150,2150,2200,2165,2150,2175,2200,2200,2195,2195,2150,2200,2100,2195,2150,2200,2200,2150,2150,2100,2100,2000,2000,2000,2000,2000,2100,2100,2100,2095,2000,1995,2000,2000,1999,1975,1985,2000,2100,2100,2000
"Ridgewood","New York","NY","New York-Newark-Jersey City","Queens County",46,,,,,,,,,,,,,,,,,,,,,,,,1425,1400,1412.5,1450,1475,1450,1550,1550,1600,1700,1750,1799,1700,1700,1800,1800,1700,1700,1700,1700,1850,1800,1800,1900,1950,1900,2000,2000,2000,2000,2300,2300,2300,2300,2275,2297.5,2250,2250,2250,2399,2350,2500,2500,2525,2500,2550,2500,2500,2500,2450,2400,2250,2299,2300,2400,2450,2489,2500,2500,2599,2575,2500,2450,2399.5,2449,2450,2450,2500,2600,2613,2695,2650,2600,2650
"West Rogers Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",47,,,,,,,,,,,,,,,,,,,,,,,,1097.5,995,1000,995,995,1062.5,1095,1100,1150,1100,1015,1100,1095,1000,1075,1050,1075,1075,1095,1095,1050,1017.5,1080,1150,1125,1150,1100,1112.5,1120,1050,1050,1125,1125,1125,1200,1200,1150,1150,1300,1300,1300,1350,1275,1195,1250,1150,1195,1125,1250,1312.5,1295,1175,1300,1300,1325,1325,1325,1325,1325,1275,1250,1250,1250,1250,1275,1295,1350,1325,1337.5,1400,1297.5,1225,1205,1275
"East Village","New York","NY","New York-Newark-Jersey City","New York County",48,,,,2700,3000,2695,2695,2695,2700,2795,2750,2700,2900,2995,2995,2950,2950,2895,2900,2995,3012.5,3000,2950,2995,3000,3000,2895,2895,2900,2900,2900,2995,3000,3050,3050,3100,3099,3100,3095,3000,3050,3025,3095,3195,3150,3200,3200,3208,3200,3200,3200,3200,3150,3200,3300,3095,3140,3195,3200,3200,3150,3000,3100,3049,3000,3000,3150,3200,3250,3200,3200,3100,3055,3100,2995,2995,3097.5,3095,3250,3295,3200,3250,3208,3095,3000,2900,2900,2979,3033.5,2995,3200,3362.5,3300,3300,3300,3204,3100
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1675,1675,1600,1625,1702.5,1750,1720,1750,1790,1800,1800,1775,1745,1795,1700,1750,1700,1795,1895,1900,1900,1800,1800,1800,1799.5,1850,1900,1900,1900,1900,1900,1950,2000,1900,1800,1900,1900,1900,1900,2000,1950,2200,2100,2000,1895,1897.5,2075,2000,2100,2100,2050,2200,2200,2200,2300,2250,2200,2200,2200,2200,2275,2300,2200,2250,2250,2300,2350,2400,2400,2400
"Park Slope","New York","NY","New York-Newark-Jersey City","Kings County",50,,,,,,1995,2050,2325,2300,2500,2495,2512.5,2400,2495,2500,2575,2500,2550,2650,2525,2600,2700,2700,2750,2722.5,2747.5,2700,2720,2750,2685,2675,2800,2750,2800,2700,2685,2700,2700,2695,2650,2650,2600,2600,2800,2800,2800,2800,2900,2900,2750,2750,2750,2800,2800,2800,2995,3000,2900,2900,2850,2900,2850,2846,2850,2750,2750,2750,2745,2850,2700,2800,2900,2800,2800,2800,2750,2700,2700,2700,2800,2800,2800,2875,2800,2800,2777,2750,2800,2750,2683,2800,2800,2800,2850,2900,2950,2950
"Jackson Heights","New York","NY","New York-Newark-Jersey City","Queens County",51,,,,,,,,,,,,,,,,1537.5,1425,1495,1537.5,1562.5,1575,1550,1575,1525,1575,1650,1700,1675,1700,1675,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1750,1750,1750,1800,1800,1837.5,1850,1850,1850,1850,1850,1850,1850,1850,1750,1800,1820,1800,1850,1862.5,1834,1762.5,1900,1800,1800,1775,1800,1750,1800,1800,1850,1800,1797.5,1900,1850,1900,1850,1850,1800,1800,1810,1820,1850,1875
"Midtown","Memphis","TN","Memphis","Shelby County",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.5,612.5,700,750,750,750,695,695,675,675,715,715,720,695,695,675,675,695,675,650,685,695,695
