"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,135000,139000,138250,139900,144950,149400,149900,149900,155000,150000,149900,150000,150000,152450,149950,149900,149900,152000,152250,159500,160000,159900,165000,162000,159900,159900,165000
"East Side","El Paso","TX","El Paso","El Paso County",13,88872,89500,89900,89900,87250,85000,85000,88925,89900,89500,88500,88500,89500,80000,86450,85945,86000,86000,86000,86000,85945,85000,85000,85945,85400,80500,81000,79950,87500,84925,85000,84900,84000,84450,84900,84475.5,84900,84600,84900,85000,87000,87887,89000,89000,89900,89000,89250,88650,86000,84900,83500,87887,85500,87818.5,86800,86650,86500,85000,84999.5,86500,86800,88000,85500,84000,85000,82699.5,83000,84950,84900,83750,84000,83750,85000,87900,86950,87900,87500,87000,87250,87750,88700,87500,89000,87500,89000,89250,89700,89950,89500,91950,92000,93579.5,92000,92600,88659.5,90000,92000,93125,89463.5,95000,95538.5,93500,95000,94900,95000,97250,97200
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",14,64900,66950,68500,65000,65000,65450,64900,64700,64900,67000,68000,63065,59990,59850,57250,59261.5,60000,61200,60000,60000,64900,62200,60000,59900,57900,54999.5,52000,55000,54900,56000,55000,55000,52235,50750,53500,54900,54500,55000,55000,58450,60000,60900,59900,59900,60000,60000,64900,63000,59975,56725,63000,69900,72500,69900,68500,68500,75000,74500,72000,75000,75000,75000,75000,79000,79900,79900,82000,79900,85000,85000,89900,94900,91000,90000,94700,95000,94750,95000,98580,99450,1e+05,95000,99000,102900,105000,105000,115000,115000,123286,120000,119900,121450,120000,118450,121500,124949,124400,124950,129000,134211,134950,131000,130500,134900,140000,139900,139900
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89500,90000,90000,90000,92450,103500,104900,1e+05,105000,105000,104700,106500,108000,109900,109450,110000,105800,105400,105000,114000,115000,119200,122350,129700,130000,129900,130000,129900,129900,129900,134900,135000,135000,135000,139900,139900,139000,140000,149500,150000,149000,149000,145000,149900,152046,154500,157000,159450,153000,156200,160000,162000,160000,160000,164000,168000,169900,169900,169900
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",16,94900,90000,90000,92000,90000,89900,90000,90000,85000,84900,84900,86900,85000,79000,80250,80250,80000,79990,79500,79000,79000,78000,76900,75000,74900,76000,75000,77000,78650,79900,80000,79900,78700,83850,79900,85000,85500,87500,89950,90000,95000,95000,98000,1e+05,105000,108450,109000,110000,110000,110000,110000,114900,115950,110000,114000,120000,120000,119000,115000,129000,129350,126950,128000,127000,133950,120500,129900,137900,136000,134950,130000,134900,134900,140000,144900,144900,145000,145000,145000,145500,147750,149925,149000,144900,139975,150000,154900,154900,154949.5,159000,159444,159000,164200,164725,160000,159995,165499.5,165000,159950,158500,159925,164925,164975,163900,177000,179000,189450
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148950,143900,145000,155000,167000,168950,167000,165000,164950,169950,168950,174195,171000,172900,169950,170000,169000,170000,174900,179450,169950,165950,171750,184995,174000,178000,185000
"Roosevelt","Fresno","CA","Fresno","Fresno County",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,110000,110000,106500,1e+05,1e+05,113900,115000,115000,113900,110000,110000,112950,115000,117000,120000,124450,126500,115000,114900,115000,120000,119000,124900,125000,125000,125000,129900,129950,129700,134900,134975,138000,137800,137800,134950,123444,129950,144900,144900,145000,149900,144900,140000,149950,149987
"South Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,95000,99900,99900,106000,107000,110000,109900,110000,104970,105500,110000,110500,110000,114500,111500,110000,114000,115000,120000,120000,121000,124999,125000,125000,125000,125000,122500,125000,124900,130000,131000,135000,129900,139900,139900,145450,148750,150000,152000,155900,150000,149900,155000,150000,157000,159900,165000,169000,169000,169000,168000,168000,169994.5,174400,175000,175000,179999,179900,180000,182950
"East San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",20,285000,279950,285250,290000,289000,290000,295500,295000,291500,290000,289925,295000,293750,289000,285500,289000,285000,290000,295000,297000,289000,294975,294925,295000,289000,294900,299888,3e+05,305000,322444,324888,325000,3e+05,329000,344500,349975,359500,360000,386000,399494,420000,420000,425000,425000,429500,449999,450000,449999.5,459919,472497.5,467000,469888,475000,477000,475000,475000,478950,477000,479400,479400,489000,499694,524950,525000,519950,529000,527000,539000,548000,545000,549888,548000,539975,549000,528000,539000,549900,557900,596944,599000,599000,589940,588400,599000,612500,620000,619500,615000,615000,615000,639000,629999,639000,629900,643500,646000,679000,694888,699400,725000,756500,748444,750000,750000,750000,744000,738000
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93700,88000,91450,94999,85250,82500,85000,85000,95000,93950,96450,91450,90450,87264,86770
