"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",59,1286,-0.00310077519379845,-0.00464396284829721,0.0133963750985028,535
2018-11-30,"Northwest","TX","El Paso","El Paso County","El Paso",60,1017,0.0139581256231306,0.018018018018018,-0.0574606116774791,1320
2018-11-30,"Canarsie","NY","New York-Newark-Jersey City","Kings County","New York",61,2168,0.00884132154490461,0.0107226107226107,0.00138568129330254,11409
2018-11-30,"White Haven-Coro Lake","TN","Memphis","Shelby County","Memphis",62,802,0.0113493064312736,0.0164765525982256,-0.0123152709359606,1549
2018-11-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",63,2339,0.00818965517241379,0.0165145588874402,0.0358724534986714,4309
2018-11-30,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",64,3169,0.00667090216010165,0.00923566878980892,-0.00627155848228285,7392
2018-11-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",65,2748,0.00918105031215571,0.00401899890390939,-0.0241477272727273,8063
2018-11-30,"Logan Square","IL","Chicago-Naperville-Elgin","Cook County","Chicago",66,1580,0.013470173187941,0.0167310167310167,-0.0131168019987508,9517
2018-11-30,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",67,1257,0.0112630732099759,0.0128928283642224,0.00721153846153846,2117
2018-11-30,"Lower East Side","NY","New York-Newark-Jersey City","New York County","New York",68,3743,0.0118951067856177,0.0127164502164502,-0.0325665546652882,9106
2018-11-30,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",69,1158,0.0131233595800525,0.0184696569920844,0.035778175313059,339
2018-11-30,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",70,2535,0.00955794504181601,0.0103626943005181,0.0043581616481775,2747
2018-11-30,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",71,2503,0.00886739218057235,0.00764895330112722,0.00441412520064205,2651
2018-11-30,"Flushing","NY","New York-Newark-Jersey City","Queens County","New York",72,2214,0.00682128240109141,0.00957592339261286,0.0118829981718464,13041
2018-11-30,"South Ozone Park","NY","New York-Newark-Jersey City","Queens County","New York",73,2136,0.0156918687589158,0.0185979971387697,-0.00140252454417952,6484
2018-11-30,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",74,1235,0.0114660114660115,0.0106382978723404,0.0257475083056478,3840
2018-11-30,"Sylmar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",75,2404,0.0100840336134454,0.0143459915611814,0.000832639467110741,4490
2018-11-30,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",76,2222,0.0192660550458716,0.0216091954022989,-0.031386224934612,3883
2018-11-30,"Sharpstown","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",77,1042,0.00385356454720617,0.00192307692307692,-0.00572519083969466,5203
2018-11-30,"West","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",78,1246,0.00241351568785197,0.0040290088638195,-0.021978021978022,2629
2018-11-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",79,2566,0.00904443570585922,0.0118296529968454,-0.0123171670515781,4910
2018-11-30,"San Pedro","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",80,2408,0.00795311845960653,0.0181818181818182,0.000415454923140839,9048
2018-11-30,"North Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",81,3070,0.00556829348182116,0.00655737704918033,0.00228534116878877,5496
2018-11-30,"Evergreen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",82,3088,0.0094802222948676,0.0121271714192068,0.00586319218241042,4182
2018-11-30,"Woodland Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",83,2495,0.0093042071197411,0.0093042071197411,0.017536704730832,4678
2018-11-30,"Eldridge - West Oaks","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",84,1281,0.0102523659305994,0.0102523659305994,0.00078125,701
2018-11-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",85,2713,0.00817539947974731,0.011558538404176,0.0257088846880907,7124
2018-11-30,"Pacoima","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",86,2405,0.00711892797319933,0.00965575146935348,0.00459482038429407,2217
2018-11-30,"Murray Hill","NY","New York-Newark-Jersey City","Queens County","New York",87,2211,0.00820793433652531,0.0109739368998628,0.0109739368998628,8595
2018-11-30,"Little Village","IL","Chicago-Naperville-Elgin","Cook County","Chicago",88,1320,0.0122699386503067,0.0153846153846154,-0.0185873605947955,1005
2018-11-30,"North Raleigh","NC","Raleigh","Wake County","Raleigh",89,1211,0.00832639467110741,0.0116959064327485,0.0176470588235294,2518
2018-11-30,"Southwest","CA","San Diego-Carlsbad","San Diego County","Chula Vista",90,2021,0.0110055027513757,0.0135406218655968,-0.0029600394671929,3022
2018-11-30,"Canyon Country","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",91,2344,0.013840830449827,0.019573727707699,-0.00127822752449936,6995
2018-11-30,"Mira Mesa","CA","San Diego-Carlsbad","San Diego County","San Diego",92,2025,0.0104790419161677,0.0125,0.0211800302571861,6035
2018-11-30,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",93,2339,0.0156317846287451,0.0191721132897603,0,2372
2018-11-30,"Far Rockaway","NY","New York-Newark-Jersey City","Queens County","New York",94,2171,0.0187705302674801,0.0197275716298732,0.0255077940481814,4070
2018-11-30,"Forest Hills","NY","New York-Newark-Jersey City","Queens County","New York",95,2154,0.00795507721104352,0.00842696629213483,0.0471560525036461,17773
2018-11-30,"Cordova-Appling","TN","Memphis","Shelby County","Memphis",96,1194,0.000838222967309304,0.00251889168765743,0.0310880829015544,4604
2018-11-30,"Northwest Raleigh","NC","Raleigh","Wake County","Raleigh",97,1243,0.00403877221324717,0.00566343042071197,0.00892857142857143,2823
2018-11-30,"Valencia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",98,2586,0.0149136577708006,0.0197160883280757,0.00271423032183017,10850
2018-11-30,"Reseda","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",99,2426,0.00957136912193092,0.0129436325678497,-0.00410509031198686,3275
2018-11-30,"Ridgewood","NY","New York-Newark-Jersey City","Queens County","New York",100,2240,-0.00355871886120996,-0.00267141585040071,-0.00311526479750779,6847
2018-11-30,"Central Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",101,1337,0.00905660377358491,0.012112036336109,0.00149812734082397,211
2018-11-30,"West Rogers Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",102,1459,0.0110880110880111,0.0131944444444444,0.0181437543614794,11236
2018-11-30,"East Village","NY","New York-Newark-Jersey City","New York County","New York",103,3809,0.0181769580326116,0.0217274678111588,-0.0491762356465302,15217
2018-11-30,"South Dorchester","MA","Boston-Cambridge-Newton","Suffolk County","Boston",104,2425,-0.00614754098360656,-0.00574005740057401,0.0262378332628015,9227
2018-11-30,"Park Slope","NY","New York-Newark-Jersey City","Kings County","New York",105,2749,0.0121502209131075,0.0128960943257185,-0.0448227936066713,15297
2018-11-30,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby County","Memphis",106,764,0.00394218134034166,0.00526315789473684,0.00924702774108322,1970
2018-11-30,"South Belt - Ellington","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",107,943,-0.00211640211640212,0.00106157112526539,0.0150699677072121,578
2018-11-30,"Panorama City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",108,2334,0.0134607034303083,0.018769096464426,-0.00680851063829787,3202
