"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Macgregor","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1900,1800,1825,1725,1600,1600,1850,1925,2025,2000,1950,1999.5,1987,1999,1997,1800,1800,1850,1800
"Hollywood Hills","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425,2415,2323,2300,2360,2400,2450,2405,2415,2395,2400,2331,2450,2415,2450,2465,2450,2440,2389,2407.5,2450,2495
"Sun City","Menifee","CA","Riverside-San Bernardino-Ontario","Riverside County",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1297,1347.5,1350,1350,1325,1350,1300,1295,1300,1300,1300,1337.5,1350,1337.5,1397.5,1385,1400,1387.5,1395
"Beach Haven","Jacksonville","FL","Jacksonville","Duval County",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1679,1850,1900,1900,1800,1672.5,1595,1762.5,1925,1844.5,1844.5,1822.5,1862.5,1775,1800,1900,1875,1850,1715,1800
"East Arlington","Jacksonville","FL","Jacksonville","Duval County",268,,,,,,,,,,,,,,,,1300,1295,1295,1295,1250,1272.5,1195,1200,1200,1250,1297.5,1300,1300,1337.5,1350,1300,1300,1300,1300,1300,1275,1300,1300,1300,1350,1400,1400,1395,1450,1397.5,1495,1450,1450,1395,1397.5,1395,1450,1450,1485,1445,1445,1425,1425,1397.5,1395,1400,1395,1412.5,1450,1450,1462.5,1450,1420,1420,1397,1437.5,1450,1495,1490,1495,1560,1425,1472,1390,1450,1496,1495,1450,1500,1525,1590,1500,1557,1550,1575,1625,1600,1525,1573,1532.5,1510,1570,1639,1624.5,1650,1680,1700,1650,1595,1600
"Outer Sunset","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4050,3595,4200,4250,3950,4000,4000,3997.5,4200,4275,4150,3947.5,3900,4200,4350
"Alden Bridge","The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery County",270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1887.5,2097.5,1995,2125,1997.5,2100,2100,2300,2347.5,2200,2100,2100,2250,2250,2150,2100,2000,1975,1995,2000,2100,1995,2092.5,2000,2125,2150,2150,2000,2100,2100,2197.5,1999.5,1995,1950,1900,1945,1925,1950,1995,1900,1900,1950,1975,1795,1800,1887.5,1850,1935,2075,1997.5,1950,1872.5,1997.5,1950,1900,1900,1925,1950,1975,2100,2000,2000,2150,2000,2000,1900
"Broadmoor, Anderson Island, Shreve Isle.","Shreveport","LA","Shreveport-Bossier City","Caddo Parish",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1162.5,1200,1200,1200,1200,1150,1100,1100,1100,1175,1200,1200,1150,1162.5,1185,1200,1200,1200,1200,1150
"Vance Jackson","San Antonio","TX","San Antonio-New Braunfels","Bexar County",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,799,817,812.5,800,819,820,825,825,819,815,817,815,825,850,819.5,817,812.5,819,812.5,820,819.5,817,800,815,825,822.5,820,819,799.5,800,805,805,805,812.5,819,822.5,812.5,810,805,815,805,800,799.5,799,812.5,800,825,825,820,819,822.5,822.5,825,825,822.5,840,860,825,822.5,825,825,819.5,819,815,822.5,820,830,825
"Hollywood Lakes","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",273,,,,,,,,,,,,,,2000,2150,2175,2200,2100,2125,2200,2225,2250,2200,2250,2100,2300,2190,2000,2000,2000,2000,2100,2237.5,2250,2200,2300,2300,2300,2300,2300,2400,2400,2350,2300,2350,2400,2400,2400,2400,2400,2400,2400,2450,2450,2400,2412.5,2400,2400,2500,2450,2600,2500,2400,2395,2395,2325,2400,2500,2600,2600,2500,2500,2500,2600,2750,2500,2650,2450,2400,2475,2500,2400,2462,2500,2500,2500,2400,2400,2549.5,2500,2550,2625,2500,2500,2700,2650,2515,2650,2649,2600,2750,2600,2500,2662.5,2600
"Warrendale","Detroit","MI","Detroit-Warren-Dearborn","Wayne County",274,,,,,,,,,,,,,,,,,,,,,675,675,700,650,695,675,700,695,675,650,675,650,675,697.5,700,700,700,700,700,700,700,700,700,700,700,700,700,725,700,700,700,750,750,740,700,725,700,700,725,725,725,750,750,750,750,750,750,750,750,750,712.5,700,750,750,750,750,700,735,725,712.5,700,725,725,750,750,750,750,750,750,750,750,762.5,750,750,750,750,750,762.5,800,762.5,750,750,750,762.5,775
"Providence","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",275,,,,,,,,,,,,,,,,,,1250,1195,1225,1197.5,1100,1200,1250,1250,1250,1200,1200,1200,1225,1195,1195,1250,1312.5,1250,1200,1200,1200,1200,1200,1200,1245,1200,1200,1195,1200,1190,1200,1246,1250,1250,1250,1225,1295,1297.5,1242.5,1245,1250,1247.5,1250,1250,1300,1350,1295,1250,1250,1295,1295,1250,1300,1297.5,1300,1324,1324.5,1250,1310,1325,1350,1300,1295,1262.5,1350,1300,1395,1350,1350,1397.5,1387.5,1450,1475,1400,1412.5,1395,1357.5,1427.5,1450,1495,1450,1562.5,1550,1495,1550,1597.5,1550,1500
"Fishtown","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1650,1700,1750,1712.5,1712.5,1697,1600,1695,1650,1595,1550,1600,1600,1675,1795,1797.5,1800,1800,1775,1800,1750
"Grogan's Mill","The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery County",277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1900,1797.5,1700,1700,1650,1650,1750,1695,1797.5,1750,1750,1895,1825,1792.5,1762.5,1722.5,1700
"Desert Shores","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1595,1550,1597.5,1751,1925,1750,1700,1707.5,1687,1737.5,1700,1750,1725,1900,1818,1850,1750,1825,1982.5,1895
"Magnolia","Seattle","WA","Seattle-Tacoma-Bellevue","King County",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3400,3200,3200,2995,3000,3000,2997.5,2995,2997.5,3350,3449.5,3495,3300,3250,3200,3200
"Sterling Ridge","The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery County",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2000,1962.5,1975,1950,1950,2000,2054,2000,2000,2050,2100,2150,2200,2325,2300,2225,2200,2200,2100,2100,2100
"Green Valley Ranch","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",281,,,,,,,,,,,,,,,,,1495,1495,1495,1472.5,1495,1450,1450,1495,1350,1350,1500,1550,1497.5,1475,1475,1572.5,1600,1600,1495,1500,1450,1492.5,1564.5,1550,1512.5,1695,1600,1550,1495,1500,1500,1500,1617.5,1600,1550,1550,1600,1550,1595,1600,1595,1567.5,1567.5,1575,1600,1690,1650,1670,1600,1650,1672.5,1675,1595,1600,1597.5,1650,1600,1735,1750,1625,1747.5,1600,1725,1592.5,1690,1595,1695,1550,1500,1600,1600,1650,1750,1795,1775,1750,1700,1725,1700,1700,1695,1741,1785,1770,1772.5,1737.5,1800,1835,1737.5
"Seatack","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.5,1750,1697.5,1700,1725,1697.5,1795,1700,1850,1750,1600,1650,1680,1700,1700,1725,1750,1760,1800,1522.5,1650,1800,1825
"Lower Moyamensing","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1275,1297.5,1300,1300,1300,1262.5,1212.5,1250,1300,1300,1300,1300,1300,1395,1300,1297.5,1300,1300,1300,1337.5,1300
"Near Southeast","Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,745,697.5,725,700,725,707.5,750,750,750,750,725,697,750,750,750,750,750,750,750,750,750,750
