RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274526,Midtown,Tennessee,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270300,268700,284900,280500,288200,278500,362200,351e3,339500,247600,256400,260900,289900,273400,271400,240600,257500,250500,245400,244900,258e3,266400,266500,275700,287200,296200,302100,291100,279500,294e3,299900,289400,262900,258e3,289400,281e3,313200,291800,307100,285700,310400,303400,289500
274771,Northeast Colorado Springs,Colorado,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316900,319500,327500,326700,332e3,315800,324400,323700,338400,333e3,357100,355500,342300,315e3,308200,318200,316600,316400,316e3,311600,313900,309100,309100,313400,329100,334700,329100,319200,321e3,333800,339700,346e3,341600,357900,363500,357200,342600,336400,347800,36e4,368600,365300,357200,357100,357700,364600,368900,375200,374900,382900,384800,386700,369900,375600,373500,380200,376300,391600,402800,424900,414600,416900,408600,413400,404600,403e3,396600,399700,397700
403542,Kingwood,Texas,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311100,319600,318500,320100,317800,314500,314e3,342300,35e4,363400,336300,328400,324e3,325300,313800,311700,313900,332400,335900,338600,347500,340100,343800,342300,374500,364600,361e3,344400,344600,352300,342700,339800,332800,338200,341e3,334800,355700,370600,356500,317200,308700,323100,328800,327600,341200,364500,369e3,362400
273860,Gramercy,New York,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720500,748800,821100,787300,808200,744e3,723700,752200,784600,783e3,708500,682400,781e3,884700,850900,769600,663600,687300,696e3,711400,675300,698200,747600,760600,757400,737900,728600,746100,728e3,740200,701400,670800,643e3,641500,660500,722700,732600,749800,702600,732300,720300,770800,724200,780300,900100,911300,888e3,719100,736800,737300,763600,740500,742100,742200,796200,778e3,796800,770300,751800,718e3,706900,738500,768e3,773700,770600,724600,746900,759600,778700,786300,786e3,792600,805500,765100,787e3,765500,829e3,802600,781100,883200,934400,968600,909700,925400,918300,913e3,885600,914500,885400,1003400,1013300,1005200,888200,854500,936300,1050400,1059100,1043700,938800,976900
275707,The Heights,New Jersey,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637300,638e3,639700,655300,652500,658800,683500,674e3,690700,696700,706700,689500,642300,649e3,650500,691200,701200,700500,690800,703800,714700,704500,714800,745700,748300,758e3,726300,721400,670800
273177,Centennial Hills,Nevada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263200,260200,279e3,285900,308800,292800,299900,284900,288700,295800,305700,309700,313400,335500,343800,340300,326e3,327300,337800,337700,338800,333200,331900,348e3,339900,350200,345300,359200,353100,337500,331200,339200,351400,349900,347e3,344100,352500,347200,348400,355900,361600,369e3,369300,363700,362e3,364900,369200,373400,378800,385800,373700,367600,413100,434300,431700,397800,394700,403200,402700,400900,397800,395300,438100,443300,464100,438e3,45e4,438800,431e3,436500,431100,450200,,
274346,Lone Mountain,Nevada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230400,233700,241800,255900,262900,245200,246600,247e3,245400,245100,221100,229200,217600,224100,214300,228100,236900,251300,271500,275300,277900,248800,244300,242200,269400,291200,291400,280500,275800,276500,287300,304e3,304e3,300900,316600,321800,302500,264600,265e3,285600,295500,312400,313e3,317600,312e3,314100,317300,313700,298900,302400,304e3,332900,334600,336400,325e3,323500,323600,327600,330500,325400,318900,315e3,319200,327700,331100,347400,345200,344400,331700,353700,347200,351200,337100,343200,343400,342800,363800,367500,382200,373200,37e4,370500,363700,378700,368400,378900,378300,386300,403e3,41e4,418100,420100,,
244707,Kempsville,Virginia,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314300,309600,310500,309200,313500,316e3,316500,315200,322600,322700,330900,314200,317600,314700,317400,326400,314400,321800,317500,335100,325800,326500,320700,330400,328200,328900,326500,335900,329500,326600,321900,321700,315400,313200,309700,316e3,315900,323500,326400,319900,323700,323400,327300,322700,333e3,333700,335e3,335900,344300,345800,344500,340500,351700,349100,348600,365100,357500,36e4,340500,343700,339200,339100,348600,354600,353800,343500,341600
269589,Lake View,Illinois,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451800,477e3,484900,486800,462400,463500,456e3,473100,471700,477800,452200,453800,459600,460500,462800,465100,495100,493200,489400,449300,462800,463400,497e3,484e3,492100,485700,490800,468200,470900,468700,502700,502600,510400,503300,498600,510300,507600,508500,490800,483400,481400,489300,488800,491900,477e3,492100,500200,517100,500200,511500,498300,505300,501500
111617,Casas Adobes,Arizona,35,,,,,,,,,,,,,,296800,299600,318900,318400,304200,281900,293200,287800,288200,268600,271700,264e3,268800,284400,296500,297300,280700,261600,261500,256500,267900,276200,279600,290300,266900,257900,233800,233500,228200,232600,233500,249700,247e3,251400,260200,258800,253800,232900,242800,249900,255100,245900,265300,311800,311200,296100,261100,269300,271400,265300,273800,278600,276e3,271800,269200,270900,288e3,296200,306e3,289400,273200,268200,268e3,275200,277700,278100,276800,276e3,275400,279900,272900,281e3,282100,280900,275400,267600,275200,282400,291400,293700,290500,290800,286600,289e3,289100,295700,296e3,302900,317300,315300,346700,332100,336500,296900,297400,313400,319500,322600,303900,299e3,296900,298900,323400,318800,331500,314700,338600,342600,339900,335500,326600,327400,324600,327100,342700,338800
